t,Potential,Kinetic,Total,Virial
0,-17979.6,52214,34235.8,393950
50,-17979.7,52214,34234.2,393944
100,-17979.4,52214,34234.2,393952
150,-17978.9,52213.8,34234.2,393967
200,-17978.2,52213.5,34234.2,393986
250,-17977.4,52212.7,34234.2,394011
300,-17976.3,52211.6,34234.2,394041
350,-17975,52210,34234.2,394078
400,-17973.5,52208.1,34234.1,394119
450,-17971.9,52206.2,34234,394166
500,-17970,52204.2,34234,394218
550,-17967.9,52202.1,34234,394276
600,-17965.7,52199.7,34234,394340
650,-17963.2,52197.3,34234,394409
700,-17960.6,52194.5,34233.9,394484
750,-17957.7,52191.7,34233.8,394564
800,-17954.7,52188.4,34233.8,394648
850,-17951.4,52185.3,34233.7,394740
900,-17948,52181.6,34233.6,394837
950,-17944.4,52178,34233.5,394939
