P,V,T
402558,64,50096.7
2.05196e+07,64,2.5648e+06
3.35333e+07,64,4.19156e+06
4.50866e+07,64,5.63576e+06
3.99966e+07,64,4.99949e+06
4.10514e+07,64,5.13134e+06
4.18428e+07,64,5.23026e+06
4.00515e+07,64,5.00635e+06
3.92513e+07,64,4.90633e+06
3.86152e+07,64,4.82681e+06
3.89761e+07,64,4.87192e+06
3.9774e+07,64,4.97167e+06
3.95018e+07,64,4.93764e+06
3.96486e+07,64,4.95598e+06
3.974e+07,64,4.96741e+06
3.93333e+07,64,4.91657e+06
3.92926e+07,64,4.91149e+06
3.93493e+07,64,4.91857e+06
3.9474e+07,64,4.93417e+06
3.92219e+07,64,4.90265e+06
4.04484e+07,64,5.05597e+06
3.96425e+07,64,4.95522e+06
4.05208e+07,64,5.06501e+06
4.03404e+07,64,5.04247e+06
3.95514e+07,64,4.94384e+06
4.0549e+07,64,5.06854e+06
3.97678e+07,64,4.97089e+06
4.00421e+07,64,5.00517e+06
3.91331e+07,64,4.89155e+06
4.08182e+07,64,5.10219e+06
4.05607e+07,64,5.07e+06
4.04288e+07,64,5.05352e+06
3.92461e+07,64,4.90567e+06
3.96563e+07,64,4.95695e+06
3.9429e+07,64,4.92854e+06
3.90327e+07,64,4.879e+06
3.84899e+07,64,4.81115e+06
3.98645e+07,64,4.98297e+06
4.06516e+07,64,5.08136e+06
3.94992e+07,64,4.93732e+06
3.91177e+07,64,4.88962e+06
4.05261e+07,64,5.06568e+06
4.06646e+07,64,5.08299e+06
4.0088e+07,64,5.01091e+06
3.99801e+07,64,4.99742e+06
4.06342e+07,64,5.0792e+06
3.92329e+07,64,4.90402e+06
3.90678e+07,64,4.88339e+06
4.10126e+07,64,5.1265e+06
4.01569e+07,64,5.01953e+06
3.89927e+07,64,4.874e+06
3.88129e+07,64,4.85153e+06
4.05587e+07,64,5.06975e+06
3.98505e+07,64,4.98122e+06
3.94096e+07,64,4.92611e+06
3.94527e+07,64,4.9315e+06
3.98509e+07,64,4.98127e+06
3.88625e+07,64,4.85772e+06
4.02243e+07,64,5.02795e+06
3.95147e+07,64,4.93926e+06
3.93987e+07,64,4.92475e+06
3.92205e+07,64,4.90248e+06
3.92566e+07,64,4.90698e+06
3.98229e+07,64,4.97777e+06
4.03546e+07,64,5.04425e+06
4.07167e+07,64,5.08951e+06
4.03431e+07,64,5.0428e+06
3.88463e+07,64,4.8557e+06
3.93605e+07,64,4.91997e+06
3.98837e+07,64,4.98538e+06
3.95103e+07,64,4.9387e+06
4.03517e+07,64,5.04387e+06
4.13137e+07,64,5.16413e+06
3.99111e+07,64,4.9888e+06
3.99195e+07,64,4.98985e+06
4.09096e+07,64,5.11361e+06
4.00507e+07,64,5.00625e+06
4.07297e+07,64,5.09113e+06
3.96195e+07,64,4.95235e+06
4.07586e+07,64,5.09475e+06
4.10475e+07,64,5.13086e+06
3.91251e+07,64,4.89055e+06
3.93785e+07,64,4.92223e+06
3.91464e+07,64,4.89321e+06
3.89216e+07,64,4.86511e+06
3.9055e+07,64,4.88179e+06
3.96651e+07,64,4.95806e+06
3.9937e+07,64,4.99203e+06
4.06714e+07,64,5.08384e+06
3.91439e+07,64,4.8929e+06
4.01318e+07,64,5.01639e+06
3.83654e+07,64,4.79559e+06
4.08314e+07,64,5.10384e+06
4.11063e+07,64,5.1382e+06
3.92443e+07,64,4.90546e+06
4.01932e+07,64,5.02407e+06
3.90421e+07,64,4.88017e+06
3.96853e+07,64,4.96058e+06
3.86907e+07,64,4.83625e+06
4.04845e+07,64,5.06048e+06
3.963e+07,64,4.95367e+06
3.9418e+07,64,4.92717e+06
3.93087e+07,64,4.9135e+06
3.81665e+07,64,4.77072e+06
3.93477e+07,64,4.91838e+06
3.96751e+07,64,4.9593e+06
3.999e+07,64,4.99866e+06
4.00316e+07,64,5.00387e+06
3.93962e+07,64,4.92444e+06
4.08423e+07,64,5.10521e+06
3.92667e+07,64,4.90825e+06
3.89543e+07,64,4.8692e+06
3.71976e+07,64,4.64961e+06
4.02359e+07,64,5.0294e+06
4.00594e+07,64,5.00734e+06
3.89936e+07,64,4.87411e+06
4.04467e+07,64,5.05576e+06
3.91937e+07,64,4.89912e+06
3.89265e+07,64,4.86572e+06
4.0315e+07,64,5.03929e+06
3.83546e+07,64,4.79424e+06
4.12905e+07,64,5.16123e+06
3.97217e+07,64,4.96513e+06
4.06099e+07,64,5.07616e+06
3.98078e+07,64,4.97588e+06
3.91733e+07,64,4.89658e+06
4.01028e+07,64,5.01276e+06
4.02584e+07,64,5.03222e+06
3.89594e+07,64,4.86984e+06
3.8793e+07,64,4.84903e+06
3.85919e+07,64,4.8239e+06
3.9154e+07,64,4.89417e+06
3.82199e+07,64,4.7774e+06
3.88793e+07,64,4.85982e+06
3.95993e+07,64,4.94982e+06
3.77284e+07,64,4.71596e+06
3.93163e+07,64,4.91445e+06
3.9953e+07,64,4.99404e+06
3.96118e+07,64,4.95139e+06
4.0064e+07,64,5.00791e+06
3.91026e+07,64,4.88774e+06
3.94634e+07,64,4.93284e+06
3.8736e+07,64,4.84191e+06
3.69261e+07,64,4.61566e+06
3.83903e+07,64,4.7987e+06
3.97994e+07,64,4.97484e+06
3.939e+07,64,4.92366e+06
4.02348e+07,64,5.02926e+06
3.91349e+07,64,4.89178e+06
3.88603e+07,64,4.85744e+06
3.98668e+07,64,4.98327e+06
3.9674e+07,64,4.95916e+06
4.01214e+07,64,5.01508e+06
4.06164e+07,64,5.07697e+06
4.04927e+07,64,5.0615e+06
4.00434e+07,64,5.00534e+06
3.86205e+07,64,4.82747e+06
3.9881e+07,64,4.98504e+06
3.92583e+07,64,4.9072e+06
4.02822e+07,64,5.0352e+06
3.93536e+07,64,4.91911e+06
3.91447e+07,64,4.893e+06
3.86018e+07,64,4.82514e+06
4.02064e+07,64,5.02571e+06
3.95944e+07,64,4.94921e+06
4.05861e+07,64,5.07318e+06
3.97505e+07,64,4.96872e+06
3.92974e+07,64,4.91209e+06
3.98868e+07,64,4.98576e+06
4.08952e+07,64,5.11182e+06
3.88122e+07,64,4.85144e+06
4.02803e+07,64,5.03495e+06
3.98177e+07,64,4.97712e+06
4.01326e+07,64,5.01649e+06
3.93136e+07,64,4.91411e+06
4.10202e+07,64,5.12744e+06
3.98835e+07,64,4.98535e+06
4.17608e+07,64,5.22002e+06
3.99714e+07,64,4.99634e+06
3.99458e+07,64,4.99314e+06
4.03354e+07,64,5.04184e+06
3.99803e+07,64,4.99745e+06
3.95487e+07,64,4.9435e+06
4.00726e+07,64,5.00899e+06
4.11978e+07,64,5.14964e+06
4.0203e+07,64,5.02529e+06
4.02652e+07,64,5.03307e+06
3.8033e+07,64,4.75404e+06
3.90564e+07,64,4.88196e+06
4.03406e+07,64,5.04249e+06
3.91078e+07,64,4.88839e+06
3.8534e+07,64,4.81666e+06
4.03342e+07,64,5.04169e+06
3.8496e+07,64,4.81191e+06
3.91158e+07,64,4.88938e+06
3.99629e+07,64,4.99528e+06
3.97539e+07,64,4.96915e+06
3.92615e+07,64,4.9076e+06
3.99633e+07,64,4.99532e+06
3.98604e+07,64,4.98247e+06
3.82974e+07,64,4.78708e+06
3.83152e+07,64,4.78931e+06
4.05406e+07,64,5.06749e+06
4.06658e+07,64,5.08314e+06
3.84923e+07,64,4.81145e+06
3.87211e+07,64,4.84005e+06
3.9041e+07,64,4.88004e+06
3.99934e+07,64,4.99909e+06
3.94064e+07,64,4.92572e+06
4.00098e+07,64,5.00114e+06
3.92976e+07,64,4.91212e+06
3.90828e+07,64,4.88527e+06
3.94908e+07,64,4.93626e+06
3.9307e+07,64,4.91328e+06
4.11224e+07,64,5.14022e+06
3.99441e+07,64,4.99293e+06
4.04186e+07,64,5.05224e+06
3.97039e+07,64,4.9629e+06
3.98902e+07,64,4.98619e+06
3.966e+07,64,4.95741e+06
4.00506e+07,64,5.00624e+06
3.95909e+07,64,4.94877e+06
4.00648e+07,64,5.00801e+06
3.97179e+07,64,4.96465e+06
3.98981e+07,64,4.98717e+06
3.99976e+07,64,4.99961e+06
3.96346e+07,64,4.95424e+06
4.09588e+07,64,5.11976e+06
3.94998e+07,64,4.93739e+06
4.00454e+07,64,5.00559e+06
3.94093e+07,64,4.92608e+06
4.0473e+07,64,5.05904e+06
3.88352e+07,64,4.85431e+06
3.99118e+07,64,4.98888e+06
4.02678e+07,64,5.0334e+06
4.20166e+07,64,5.25199e+06
4.02216e+07,64,5.02761e+06
4.04237e+07,64,5.05288e+06
3.96619e+07,64,4.95765e+06
3.89671e+07,64,4.8708e+06
3.91763e+07,64,4.89695e+06
3.93631e+07,64,4.92029e+06
3.87703e+07,64,4.8462e+06
3.80915e+07,64,4.76134e+06
4.07782e+07,64,5.0972e+06
4.06276e+07,64,5.07836e+06
4.13297e+07,64,5.16613e+06
4.05057e+07,64,5.06312e+06
4.05651e+07,64,5.07055e+06
3.80022e+07,64,4.75018e+06
3.93411e+07,64,4.91755e+06
4.043e+07,64,5.05367e+06
3.94691e+07,64,4.93356e+06
4.03047e+07,64,5.038e+06
3.87107e+07,64,4.83875e+06
4.00905e+07,64,5.01122e+06
3.8562e+07,64,4.82016e+06
3.98769e+07,64,4.98453e+06
3.91924e+07,64,4.89896e+06
3.91706e+07,64,4.89624e+06
4.02429e+07,64,5.03028e+06
4.08321e+07,64,5.10393e+06
4.1325e+07,64,5.16555e+06
4.02858e+07,64,5.03564e+06
3.95682e+07,64,4.94594e+06
4.00471e+07,64,5.0058e+06
3.89575e+07,64,4.8696e+06
3.81672e+07,64,4.77081e+06
3.87389e+07,64,4.84227e+06
3.94361e+07,64,4.92943e+06
4.03128e+07,64,5.03901e+06
4.03969e+07,64,5.04953e+06
4.05927e+07,64,5.074e+06
4.00454e+07,64,5.00558e+06
3.90742e+07,64,4.88418e+06
3.93137e+07,64,4.91412e+06
4.03547e+07,64,5.04426e+06
4.01598e+07,64,5.01989e+06
3.9144e+07,64,4.89291e+06
4.01222e+07,64,5.0152e+06
3.93682e+07,64,4.92094e+06
4.07115e+07,64,5.08885e+06
4.09995e+07,64,5.12486e+06
3.9793e+07,64,4.97404e+06
3.97596e+07,64,4.96986e+06
4.00642e+07,64,5.00794e+06
4.08674e+07,64,5.10834e+06
4.03702e+07,64,5.04619e+06
3.85896e+07,64,4.82361e+06
4.01971e+07,64,5.02456e+06
4.09507e+07,64,5.11876e+06
4.04039e+07,64,5.05041e+06
3.95535e+07,64,4.9441e+06
3.92422e+07,64,4.90518e+06
3.97297e+07,64,4.96613e+06
3.8985e+07,64,4.87304e+06
4.03532e+07,64,5.04406e+06
3.93387e+07,64,4.91726e+06
3.95892e+07,64,4.94857e+06
4.13638e+07,64,5.1704e+06
4.03456e+07,64,5.04312e+06
3.96606e+07,64,4.95749e+06
3.90668e+07,64,4.88326e+06
3.98572e+07,64,4.98207e+06
3.90614e+07,64,4.88258e+06
3.88255e+07,64,4.8531e+06
3.82935e+07,64,4.7866e+06
3.98281e+07,64,4.97842e+06
4.08576e+07,64,5.10711e+06
3.93541e+07,64,4.91917e+06
3.95293e+07,64,4.94108e+06
3.90846e+07,64,4.88548e+06
3.98579e+07,64,4.98215e+06
4.03425e+07,64,5.04273e+06
4.09066e+07,64,5.11324e+06
4.00644e+07,64,5.00796e+06
4.00719e+07,64,5.0089e+06
4.01017e+07,64,5.01263e+06
3.96648e+07,64,4.95802e+06
3.96971e+07,64,4.96204e+06
3.88487e+07,64,4.856e+06
4.01055e+07,64,5.01311e+06
3.87741e+07,64,4.84667e+06
3.90768e+07,64,4.88451e+06
3.93413e+07,64,4.91758e+06
3.96534e+07,64,4.95659e+06
3.91678e+07,64,4.89589e+06
3.93519e+07,64,4.91889e+06
4.00791e+07,64,5.0098e+06
3.99169e+07,64,4.98953e+06
4.0156e+07,64,5.01941e+06
4.01927e+07,64,5.024e+06
4.00539e+07,64,5.00665e+06
3.90193e+07,64,4.87733e+06
3.9164e+07,64,4.89541e+06
3.89581e+07,64,4.86968e+06
3.96351e+07,64,4.9543e+06
4.05099e+07,64,5.06365e+06
3.88013e+07,64,4.85007e+06
3.94366e+07,64,4.92949e+06
3.97449e+07,64,4.96802e+06
3.95519e+07,64,4.9439e+06
3.91229e+07,64,4.89028e+06
3.88018e+07,64,4.85014e+06
4.05437e+07,64,5.06788e+06
4.04839e+07,64,5.0604e+06
3.95611e+07,64,4.94505e+06
3.99109e+07,64,4.98878e+06
4.01145e+07,64,5.01423e+06
4.00369e+07,64,5.00453e+06
3.93339e+07,64,4.91665e+06
3.91139e+07,64,4.88915e+06
3.99037e+07,64,4.98788e+06
3.99965e+07,64,4.99947e+06
3.94562e+07,64,4.93193e+06
4.05434e+07,64,5.06784e+06
3.85483e+07,64,4.81844e+06
3.92342e+07,64,4.90418e+06
3.91283e+07,64,4.89094e+06
3.8194e+07,64,4.77415e+06
3.94738e+07,64,4.93414e+06
4.0085e+07,64,5.01054e+06
3.91281e+07,64,4.89093e+06
3.90077e+07,64,4.87587e+06
3.96103e+07,64,4.9512e+06
3.89451e+07,64,4.86805e+06
3.99741e+07,64,4.99668e+06
4.01146e+07,64,5.01424e+06
3.85784e+07,64,4.82221e+06
3.95458e+07,64,4.94314e+06
3.97411e+07,64,4.96755e+06
3.93488e+07,64,4.91852e+06
3.84584e+07,64,4.80721e+06
3.91362e+07,64,4.89194e+06
4.14378e+07,64,5.17964e+06
3.94663e+07,64,4.9332e+06
3.79662e+07,64,4.74568e+06
3.92489e+07,64,4.90602e+06
3.83675e+07,64,4.79585e+06
3.94105e+07,64,4.92622e+06
4.0408e+07,64,5.05092e+06
3.84592e+07,64,4.80731e+06
3.97651e+07,64,4.97055e+06
4.05049e+07,64,5.06303e+06
3.9496e+07,64,4.93692e+06
3.98822e+07,64,4.98519e+06
4.11689e+07,64,5.14603e+06
4.02602e+07,64,5.03244e+06
3.99808e+07,64,4.99751e+06
3.89236e+07,64,4.86536e+06
3.89607e+07,64,4.87e+06
3.92844e+07,64,4.91046e+06
3.8917e+07,64,4.86454e+06
3.94886e+07,64,4.93599e+06
3.95348e+07,64,4.94176e+06
4.00575e+07,64,5.0071e+06
3.86347e+07,64,4.82925e+06
4.02727e+07,64,5.03401e+06
4.03261e+07,64,5.04068e+06
3.93464e+07,64,4.91821e+06
3.93839e+07,64,4.9229e+06
4.14207e+07,64,5.17751e+06
4.01411e+07,64,5.01756e+06
3.84837e+07,64,4.81038e+06
3.971e+07,64,4.96366e+06
4.02792e+07,64,5.03482e+06
3.93725e+07,64,4.92147e+06
3.7955e+07,64,4.74428e+06
4.0177e+07,64,5.02204e+06
3.92126e+07,64,4.90148e+06
4.09954e+07,64,5.12434e+06
3.9424e+07,64,4.92791e+06
3.96664e+07,64,4.95822e+06
3.98124e+07,64,4.97647e+06
3.87121e+07,64,4.83892e+06
3.95407e+07,64,4.9425e+06
4.1306e+07,64,5.16317e+06
3.94849e+07,64,4.93552e+06
3.98334e+07,64,4.97908e+06
4.02043e+07,64,5.02545e+06
3.98332e+07,64,4.97907e+06
3.95275e+07,64,4.94085e+06
3.93948e+07,64,4.92427e+06
4.04909e+07,64,5.06128e+06
3.92164e+07,64,4.90196e+06
4.02382e+07,64,5.02969e+06
3.95485e+07,64,4.94348e+06
4.18173e+07,64,5.22708e+06
4.20579e+07,64,5.25716e+06
3.98882e+07,64,4.98593e+06
3.84501e+07,64,4.80618e+06
3.84675e+07,64,4.80835e+06
3.99293e+07,64,4.99107e+06
3.84261e+07,64,4.80317e+06
3.98184e+07,64,4.97721e+06
4.08077e+07,64,5.10088e+06
3.91419e+07,64,4.89264e+06
3.87446e+07,64,4.84298e+06
4.0294e+07,64,5.03666e+06
3.86559e+07,64,4.83189e+06
3.97239e+07,64,4.9654e+06
4.06419e+07,64,5.08015e+06
4.01412e+07,64,5.01756e+06
3.91753e+07,64,4.89682e+06
3.88851e+07,64,4.86055e+06
3.88104e+07,64,4.85121e+06
3.86459e+07,64,4.83065e+06
3.87812e+07,64,4.84756e+06
4.04553e+07,64,5.05683e+06
3.9795e+07,64,4.97428e+06
3.79539e+07,64,4.74414e+06
4.04339e+07,64,5.05415e+06
3.96541e+07,64,4.95668e+06
3.95332e+07,64,4.94156e+06
3.9135e+07,64,4.89179e+06
4.00577e+07,64,5.00712e+06
4.0408e+07,64,5.05092e+06
3.9461e+07,64,4.93253e+06
3.98784e+07,64,4.98471e+06
3.9526e+07,64,4.94066e+06
3.86586e+07,64,4.83224e+06
4.09919e+07,64,5.1239e+06
4.02498e+07,64,5.03115e+06
3.8713e+07,64,4.83903e+06
3.90661e+07,64,4.88317e+06
3.87958e+07,64,4.84939e+06
3.98996e+07,64,4.98736e+06
4.04989e+07,64,5.06228e+06
3.93423e+07,64,4.9177e+06
4.01263e+07,64,5.0157e+06
3.88663e+07,64,4.8582e+06
3.92717e+07,64,4.90887e+06
4.00314e+07,64,5.00384e+06
3.97088e+07,64,4.96351e+06
3.87887e+07,64,4.84849e+06
3.92345e+07,64,4.90423e+06
3.89791e+07,64,4.8723e+06
3.97231e+07,64,4.9653e+06
4.05326e+07,64,5.0665e+06
3.94518e+07,64,4.93139e+06
3.87983e+07,64,4.8497e+06
3.96967e+07,64,4.96201e+06
4.06161e+07,64,5.07693e+06
4.01419e+07,64,5.01765e+06
3.99793e+07,64,4.99733e+06
4.00278e+07,64,5.00339e+06
3.98354e+07,64,4.97934e+06
4.0704e+07,64,5.08792e+06
3.92659e+07,64,4.90815e+06
3.94276e+07,64,4.92837e+06
3.82789e+07,64,4.78477e+06
3.99611e+07,64,4.99505e+06
4.16927e+07,64,5.2115e+06
4.01503e+07,64,5.0187e+06
4.04636e+07,64,5.05787e+06
3.88326e+07,64,4.85399e+06
3.97205e+07,64,4.96497e+06
4.08941e+07,64,5.11168e+06
3.9742e+07,64,4.96767e+06
3.93269e+07,64,4.91577e+06
4.03718e+07,64,5.04639e+06
3.97871e+07,64,4.9733e+06
4.10353e+07,64,5.12933e+06
4.07621e+07,64,5.09517e+06
3.85841e+07,64,4.82292e+06
3.94902e+07,64,4.93618e+06
3.98023e+07,64,4.97521e+06
3.98612e+07,64,4.98256e+06
4.04843e+07,64,5.06045e+06
3.91646e+07,64,4.89549e+06
3.81916e+07,64,4.77386e+06
3.95427e+07,64,4.94275e+06
4.08148e+07,64,5.10177e+06
4.14331e+07,64,5.17906e+06
3.9877e+07,64,4.98454e+06
4.0251e+07,64,5.03129e+06
3.8944e+07,64,4.86791e+06
3.87913e+07,64,4.84882e+06
3.87028e+07,64,4.83775e+06
3.80646e+07,64,4.75798e+06
3.94067e+07,64,4.92575e+06
4.04075e+07,64,5.05085e+06
3.90929e+07,64,4.88652e+06
4.00822e+07,64,5.01019e+06
3.86795e+07,64,4.83485e+06
3.91551e+07,64,4.8943e+06
3.97834e+07,64,4.97283e+06
4.00357e+07,64,5.00438e+06
3.88802e+07,64,4.85993e+06
3.87636e+07,64,4.84536e+06
3.96817e+07,64,4.96013e+06
3.96628e+07,64,4.95777e+06
4.0587e+07,64,5.07329e+06
4.11751e+07,64,5.14681e+06
4.0014e+07,64,5.00167e+06
3.93665e+07,64,4.92073e+06
3.93135e+07,64,4.9141e+06
4.09553e+07,64,5.11933e+06
3.94872e+07,64,4.93581e+06
3.96513e+07,64,4.95633e+06
4.07782e+07,64,5.09719e+06
4.10369e+07,64,5.12954e+06
3.93607e+07,64,4.92e+06
3.89431e+07,64,4.8678e+06
3.97591e+07,64,4.96981e+06
3.8948e+07,64,4.86841e+06
4.01676e+07,64,5.02087e+06
4.05612e+07,64,5.07006e+06
3.85711e+07,64,4.82129e+06
3.99408e+07,64,4.99252e+06
4.01742e+07,64,5.02169e+06
3.96792e+07,64,4.95981e+06
3.79994e+07,64,4.74984e+06
3.99729e+07,64,4.99652e+06
4.03912e+07,64,5.04881e+06
3.83191e+07,64,4.7898e+06
4.05278e+07,64,5.06589e+06
4.11857e+07,64,5.14812e+06
3.96692e+07,64,4.95856e+06
4.02651e+07,64,5.03305e+06
3.9904e+07,64,4.98792e+06
3.82329e+07,64,4.77902e+06
3.9621e+07,64,4.95254e+06
3.83849e+07,64,4.79802e+06
4.04007e+07,64,5.05001e+06
4.04998e+07,64,5.0624e+06
3.94935e+07,64,4.9366e+06
3.86038e+07,64,4.82539e+06
4.10527e+07,64,5.13151e+06
3.90369e+07,64,4.87952e+06
4.00019e+07,64,5.00015e+06
3.97541e+07,64,4.96917e+06
4.10738e+07,64,5.13414e+06
3.92425e+07,64,4.90523e+06
3.8091e+07,64,4.76128e+06
3.8426e+07,64,4.80316e+06
3.91539e+07,64,4.89414e+06
4.01676e+07,64,5.02086e+06
4.04108e+07,64,5.05127e+06
3.98933e+07,64,4.98657e+06
3.94916e+07,64,4.93636e+06
3.98984e+07,64,4.98722e+06
3.89757e+07,64,4.87187e+06
3.91227e+07,64,4.89025e+06
4.02665e+07,64,5.03323e+06
3.93103e+07,64,4.9137e+06
4.07507e+07,64,5.09376e+06
4.1039e+07,64,5.12979e+06
3.96987e+07,64,4.96225e+06
3.99255e+07,64,4.9906e+06
4.01818e+07,64,5.02264e+06
3.98005e+07,64,4.97498e+06
3.98157e+07,64,4.97688e+06
3.93244e+07,64,4.91546e+06
3.97595e+07,64,4.96985e+06
3.90875e+07,64,4.88585e+06
3.92731e+07,64,4.90905e+06
3.97662e+07,64,4.97069e+06
4.00356e+07,64,5.00436e+06
3.97365e+07,64,4.96698e+06
4.03505e+07,64,5.04373e+06
3.89578e+07,64,4.86963e+06
4.05336e+07,64,5.06662e+06
3.99805e+07,64,4.99747e+06
3.83377e+07,64,4.79212e+06
3.7861e+07,64,4.73254e+06
3.9965e+07,64,4.99554e+06
4.05711e+07,64,5.0713e+06
4.05237e+07,64,5.06538e+06
4.06977e+07,64,5.08713e+06
