vx,vy,vz,v
-0.585169,-1.90292,-3.10522,13.6059
-0.360734,-0.489318,-0.950158,1.27236
-2.53473,1.43156,-2.01876,12.5496
1.18653,-1.5376,1.4759,5.95033
3.02772,2.88178,-1.90778,21.1114
1.10114,0.63019,-1.98029,5.53121
1.88319,-2.98158,-0.867377,13.1886
-0.786681,0.122108,0.573771,0.96299
1.65085,-1.45753,-0.253766,4.9141
-0.198827,-1.85066,-2.7674,11.123
-0.968095,-1.42207,-1.39441,4.9039
1.86932,-1.20775,0.827771,5.63823
0.551287,0.180766,1.83674,3.71021
2.36205,1.73446,-0.609525,8.95914
-0.220172,-2.47852,0.179034,6.22361
1.50573,2.3071,0.157774,7.61482
-0.377415,0.717111,-0.392429,0.81069
-1.48893,-1.64724,-1.17553,6.31217
0.533732,-0.500491,-0.685594,1.0054
1.92638,0.652592,1.23502,5.6621
-0.353681,-0.85765,1.79568,4.08511
2.9159,-0.115778,0.0768122,8.52179
-0.466136,-1.59327,-2.35777,8.31486
0.0117397,-0.232353,0.840103,0.759899
-1.93043,-1.86925,0.55947,7.53369
0.627355,-1.7083,0.25194,3.37534
-1.06848,-0.38722,1.0262,2.34467
1.00413,-0.652345,0.840019,2.13946
0.104276,1.46751,-1.9383,5.92149
-0.531955,0.548322,2.17282,5.30477
0.663162,2.04368,2.29792,9.89683
-2.69707,1.51483,-0.940052,10.4526
1.06393,-0.646899,1.17673,2.93512
-0.180185,-0.53073,3.70863,14.0681
0.435838,0.712124,0.267165,0.768453
1.79904,-0.711227,-0.519262,4.01202
-1.10859,-0.689236,0.127084,1.72018
-1.73303,3.94168,0.750009,19.1027
0.432476,0.750522,-1.41934,2.76485
-3.1265,0.80119,0.570649,10.7425
-1.62286,0.532483,3.46765,14.9418
-0.321175,0.227944,0.761928,0.735646
-0.681289,2.74658,-1.96602,11.8731
0.122169,-0.459886,2.51428,6.548
1.32352,-1.34502,0.790373,4.18547
4.56839,-2.3868,0.819056,27.2378
-1.58581,1.62812,-1.44967,7.26708
-2.24555,0.430789,-1.13649,6.51971
-0.863925,-0.50613,-0.887961,1.79101
0.325922,0.807945,0.374447,0.89921
1.95739,0.15351,-0.73547,4.39587
0.0789439,-1.14404,-0.602081,1.67756
2.22563,-1.20597,0.00744217,6.40785
-0.131475,-1.01904,-0.066504,1.06015
-0.525673,0.000764345,-1.20713,1.73351
0.855647,-1.6333,1.70246,6.29815
1.03262,0.613791,3.04292,10.7024
0.691244,-1.96796,1.09517,5.55008
-1.14681,0.755634,1.22673,3.39102
-0.765076,1.01468,-0.824593,2.29488
2.77092,0.444877,0.786384,8.49433
3.02259,0.720151,0.0378029,9.65608
0.882699,3.83417,-1.53105,17.8241
1.00692,1.19798,-1.48418,4.65183
-0.132846,-0.820985,-0.157259,0.716395
0.461602,-2.02904,0.344826,4.44898
-1.52077,-2.27895,1.05848,8.62671
-2.30016,-0.861391,0.0532206,6.03557
-0.0678057,-1.68493,-0.816644,3.51049
3.20348,0.113822,0.656966,10.7069
-2.15947,-0.754269,0.445911,5.43106
-0.275321,2.13535,0.907231,5.45857
-0.287003,-0.923837,0.234026,0.990614
2.70985,2.20561,-1.30972,13.9234
-0.0860627,0.770221,-0.668144,1.04706
1.27042,-0.953728,0.744147,3.07732
-1.29488,-0.30704,-0.911354,2.60155
1.42839,2.39375,0.137251,7.78918
-0.87693,2.15159,0.194504,5.43617
0.753456,0.350258,0.0302438,0.691292
-0.786272,-1.85908,-0.19891,4.11398
1.2601,-0.462053,0.478349,2.03016
-0.306039,-0.308752,2.66339,7.28263
1.96478,0.915038,0.483844,4.93176
2.54189,1.3463,-0.340023,8.38932
-0.147473,-0.584458,0.392313,0.517249
-0.0232967,2.39707,1.10298,6.96303
-3.36959,1.18499,-1.27677,14.3884
0.524664,-1.04349,0.696709,1.84954
-1.05752,-0.000877451,-1.24461,2.66741
-0.811492,0.238574,-0.194766,0.753371
0.629717,0.993729,1.66585,4.1591
1.90352,3.93731,-2.7115,26.478
1.02318,-1.45121,-0.85971,3.89199
-1.93188,2.18555,0.227833,8.5607
0.225225,-1.85831,0.843726,4.21591
1.27018,-0.707641,-0.773321,2.71214
-1.55604,-1.72016,-1.23344,6.90159
-1.27134,-1.26363,0.395562,3.36953
0.321537,-1.00336,0.59608,1.46543
-0.815923,-0.250485,-2.28351,5.94287
0.0504486,-1.75155,3.36713,14.408
-0.86934,-1.55152,0.310443,3.25935
-0.0379751,0.0450781,-0.0989584,0.0132669
-1.51917,-0.0591018,-0.865085,3.05975
-0.0716851,0.0831659,-1.50777,2.28543
-0.673666,0.040946,-1.01404,1.48378
-1.60116,1.18302,-0.360854,4.09347
-1.29841,-1.25974,0.428929,3.4568
