Particles,Step,Potential,Kitetic,Total
512,0,0,0,0
512,4,2904.86,136.847,3041.71
512,9,2574.65,458.137,3032.79
512,14,2199.01,821.39,3020.4
512,19,1861.27,1147.61,3008.88
512,24,1583.94,1415.96,2999.91
512,29,1362.81,1630.49,2993.3
512,34,1186.92,1801.45,2988.37
512,39,1046.14,1938.73,2984.87
512,44,931.954,2050.26,2982.22
512,49,838.186,2142.04,2980.23
512,54,760.208,2218.51,2978.72
512,59,694.56,2282.98,2977.54
512,64,638.676,2337.93,2976.6
512,69,590.633,2385.22,2975.85
512,74,548.95,2426.29,2975.24
512,79,512.506,2462.24,2974.74
512,84,480.382,2493.94,2974.32
512,89,451.909,2522.08,2973.99
512,94,426.488,2547.21,2973.7
512,99,403.656,2569.78,2973.44
512,104,383.076,2590.15,2973.22
512,109,364.431,2608.61,2973.04
512,114,347.453,2625.43,2972.88
512,119,331.953,2640.79,2972.74
512,124,317.714,2654.89,2972.6
512,129,304.642,2667.87,2972.51
512,134,292.566,2679.84,2972.41
512,139,281.389,2690.93,2972.32
512,144,271.016,2701.23,2972.24
512,149,261.358,2710.81,2972.17
512,154,252.355,2719.76,2972.11
512,159,243.937,2728.12,2972.06
512,164,236.054,2735.95,2972
512,169,228.643,2743.3,2971.95
512,174,221.685,2750.22,2971.91
512,179,215.134,2756.74,2971.88
512,184,208.943,2762.89,2971.83
512,189,203.094,2768.71,2971.81
512,194,197.557,2774.21,2971.77
512,199,192.319,2779.43,2971.75
512,204,187.33,2784.39,2971.72
512,209,182.603,2789.09,2971.69
512,214,178.105,2793.58,2971.68
512,219,173.813,2797.84,2971.65
512,224,169.717,2801.91,2971.63
512,229,165.82,2805.8,2971.62
512,234,162.086,2809.51,2971.6
512,239,158.512,2813.07,2971.58
512,244,155.095,2816.47,2971.57
512,249,151.823,2819.73,2971.55
512,254,148.68,2822.86,2971.54
512,259,145.669,2825.86,2971.53
512,264,142.767,2828.75,2971.52
512,269,139.978,2831.53,2971.5
512,274,137.304,2834.19,2971.5
512,279,134.72,2836.76,2971.48
512,284,132.235,2839.25,2971.48
512,289,129.837,2841.63,2971.47
512,294,127.519,2843.93,2971.45
512,299,125.29,2846.16,2971.45
512,304,123.133,2848.31,2971.45
512,309,121.048,2850.39,2971.44
512,314,119.03,2852.4,2971.43
512,319,117.078,2854.34,2971.42
512,324,115.194,2856.22,2971.42
512,329,113.363,2858.05,2971.41
512,334,111.592,2859.81,2971.4
512,339,109.873,2861.52,2971.4
512,344,108.205,2863.19,2971.39
512,349,106.588,2864.8,2971.39
512,354,105.016,2866.37,2971.38
512,359,103.491,2867.89,2971.38
512,364,102.014,2869.36,2971.37
512,369,100.569,2870.8,2971.37
512,374,99.168,2872.2,2971.37
512,379,97.8069,2873.56,2971.36
512,384,96.4826,2874.87,2971.36
512,389,95.1911,2876.17,2971.36
512,394,93.9332,2877.41,2971.35
512,399,92.7093,2878.64,2971.35
512,404,91.5163,2879.83,2971.35
512,409,90.355,2880.99,2971.34
512,414,89.2225,2882.12,2971.34
512,419,88.1166,2883.23,2971.35
512,424,87.0373,2884.3,2971.34
512,429,85.9828,2885.35,2971.34
512,434,84.9556,2886.38,2971.33
512,439,83.9496,2887.38,2971.33
512,444,82.9673,2888.35,2971.32
512,449,82.0082,2889.31,2971.32
512,454,81.0751,2890.24,2971.32
512,459,80.1605,2891.16,2971.32
512,464,79.2621,2892.06,2971.32
512,469,78.3886,2892.93,2971.31
512,474,77.5302,2893.78,2971.31
512,479,76.6918,2894.62,2971.31
512,484,75.8727,2895.44,2971.31
512,489,75.0711,2896.24,2971.31
512,494,74.2812,2897.02,2971.3
512,499,73.5127,2897.79,2971.3
512,504,72.7582,2898.55,2971.3
512,509,72.0207,2899.29,2971.31
512,514,71.2947,2900,2971.29
512,519,70.5865,2900.72,2971.31
512,524,69.8896,2901.41,2971.3
512,529,69.2058,2902.09,2971.29
512,534,68.5341,2902.76,2971.29
512,539,67.8785,2903.41,2971.29
512,544,67.2343,2904.06,2971.29
512,549,66.605,2904.69,2971.29
512,554,65.9804,2905.31,2971.29
512,559,65.3744,2905.91,2971.29
512,564,64.7761,2906.51,2971.29
512,569,64.1877,2907.1,2971.28
512,574,63.6085,2907.68,2971.28
512,579,63.0451,2908.24,2971.29
512,584,62.4869,2908.79,2971.28
512,589,61.9411,2909.34,2971.28
512,594,61.4018,2909.89,2971.29
512,599,60.8744,2910.41,2971.28
512,604,60.3537,2910.93,2971.28
512,609,59.8434,2911.44,2971.28
512,614,59.3403,2911.93,2971.27
512,619,58.8479,2912.42,2971.27
512,624,58.3621,2912.91,2971.28
512,629,57.8851,2913.39,2971.28
512,634,57.4135,2913.86,2971.28
512,639,56.9534,2914.32,2971.27
512,644,56.4973,2914.77,2971.27
512,649,56.048,2915.23,2971.28
512,654,55.6073,2915.66,2971.27
512,659,55.1751,2916.1,2971.27
512,664,54.7466,2916.53,2971.27
512,669,54.3249,2916.95,2971.27
512,674,53.911,2917.36,2971.27
512,679,53.5019,2917.77,2971.27
512,684,53.0991,2918.17,2971.27
512,689,52.7037,2918.57,2971.27
512,694,52.3135,2918.96,2971.27
512,699,51.9293,2919.34,2971.27
512,704,51.5513,2919.72,2971.27
512,709,51.1761,2920.09,2971.26
512,714,50.8066,2920.45,2971.26
512,719,50.4459,2920.82,2971.26
512,724,50.0888,2921.18,2971.27
512,729,49.733,2921.53,2971.26
512,734,49.3854,2921.87,2971.26
512,739,49.0442,2922.22,2971.27
512,744,48.7054,2922.56,2971.27
512,749,48.3707,2922.89,2971.26
512,754,48.0423,2923.22,2971.26
512,759,47.7177,2923.55,2971.27
512,764,47.3972,2923.86,2971.25
512,769,47.0804,2924.18,2971.26
512,774,46.769,2924.49,2971.26
512,779,46.4603,2924.8,2971.26
512,784,46.1574,2925.09,2971.25
512,789,45.8569,2925.4,2971.26
512,794,45.5613,2925.7,2971.26
512,799,45.2681,2925.99,2971.26
512,804,44.9803,2926.28,2971.26
512,809,44.6953,2926.56,2971.25
512,814,44.413,2926.84,2971.26
512,819,44.1364,2927.12,2971.25
512,824,43.861,2927.39,2971.25
512,829,43.5908,2927.67,2971.26
512,834,43.3231,2927.93,2971.25
512,839,43.057,2928.2,2971.26
512,844,42.7972,2928.46,2971.25
512,849,42.5378,2928.72,2971.25
512,854,42.2841,2928.97,2971.25
512,859,42.0313,2929.22,2971.25
512,864,41.7827,2929.47,2971.26
512,869,41.5348,2929.72,2971.25
512,874,41.2938,2929.96,2971.25
512,879,41.0513,2930.2,2971.25
512,884,40.8146,2930.44,2971.26
512,889,40.579,2930.67,2971.25
512,894,40.3474,2930.91,2971.25
512,899,40.1183,2931.13,2971.25
512,904,39.8914,2931.36,2971.25
512,909,39.6656,2931.58,2971.25
512,914,39.4436,2931.81,2971.25
512,919,39.2247,2932.03,2971.25
512,924,39.0082,2932.24,2971.25
512,929,38.7928,2932.46,2971.25
512,934,38.5802,2932.67,2971.25
512,939,38.371,2932.89,2971.26
512,944,38.1631,2933.09,2971.25
512,949,37.9582,2933.29,2971.25
