t,Potential,Kinetic,Total,Virial
0,-17979.6,52214,34235.8,393950
5,-17979.8,52214,34234.1,393940
10,-17979.8,52214,34234.2,393942
15,-17979.8,52214,34234.2,393941
20,-17979.8,52214,34234.3,393942
25,-17979.8,52214,34234.3,393942
30,-17979.8,52214,34234.3,393942
35,-17979.8,52214,34234.2,393942
40,-17979.7,52214,34234.2,393943
45,-17979.7,52214,34234.2,393943
50,-17979.7,52214,34234.2,393944
55,-17979.7,52214,34234.3,393945
60,-17979.7,52214,34234.3,393946
65,-17979.6,52214,34234.2,393946
70,-17979.6,52214,34234.3,393948
75,-17979.6,52214,34234.2,393950
80,-17979.6,52214,34234.2,393949
85,-17979.5,52214,34234.2,393950
90,-17979.5,52214,34234.2,393951
95,-17979.4,52214,34234.3,393951
100,-17979.4,52214,34234.2,393952
105,-17979.4,52214,34234.2,393954
110,-17979.3,52214,34234.3,393955
115,-17979.3,52213.9,34234.2,393956
120,-17979.2,52213.9,34234.2,393959
125,-17979.2,52213.9,34234.2,393958
130,-17979.2,52213.9,34234.2,393960
135,-17979.1,52213.9,34234.2,393962
140,-17979,52213.9,34234.2,393964
145,-17979,52213.9,34234.2,393965
150,-17978.9,52213.8,34234.2,393967
155,-17978.8,52213.8,34234.3,393968
160,-17978.8,52213.8,34234.2,393970
165,-17978.7,52213.8,34234.2,393972
170,-17978.7,52213.7,34234.2,393974
175,-17978.6,52213.7,34234.2,393975
180,-17978.5,52213.7,34234.2,393978
185,-17978.5,52213.6,34234.2,393980
190,-17978.4,52213.6,34234.3,393981
195,-17978.3,52213.5,34234.2,393984
200,-17978.2,52213.5,34234.2,393986
205,-17978.1,52213.4,34234.2,393989
210,-17978.1,52213.4,34234.2,393991
215,-17978,52213.3,34234.2,393992
220,-17977.9,52213.2,34234.2,393995
225,-17977.8,52213.1,34234.2,393998
230,-17977.8,52213.1,34234.2,394000
235,-17977.6,52213,34234.2,394003
240,-17977.6,52212.9,34234.2,394006
245,-17977.5,52212.8,34234.2,394008
250,-17977.4,52212.7,34234.2,394011
255,-17977.3,52212.6,34234.2,394014
260,-17977.2,52212.5,34234.2,394017
265,-17977,52212.4,34234.2,394019
270,-17977,52212.3,34234.2,394022
275,-17976.9,52212.2,34234.2,394026
280,-17976.7,52212.1,34234.2,394029
285,-17976.6,52212,34234.2,394031
290,-17976.5,52211.9,34234.2,394035
295,-17976.4,52211.7,34234.2,394038
300,-17976.3,52211.6,34234.2,394041
305,-17976.1,52211.4,34234.1,394044
310,-17976,52211.3,34234.2,394048
315,-17975.9,52211.1,34234.2,394051
320,-17975.8,52211,34234.2,394056
325,-17975.7,52210.8,34234.2,394058
330,-17975.5,52210.7,34234.1,394062
335,-17975.4,52210.5,34234.1,394066
340,-17975.3,52210.3,34234.1,394069
345,-17975.1,52210.2,34234.1,394073
350,-17975,52210,34234.2,394078
355,-17974.9,52209.8,34234.2,394082
360,-17974.7,52209.6,34234.2,394085
365,-17974.6,52209.4,34234.1,394089
370,-17974.5,52209.3,34234.1,394093
375,-17974.3,52209.1,34234.1,394097
380,-17974.2,52208.9,34234.2,394101
385,-17974,52208.7,34234.1,394106
390,-17973.9,52208.5,34234.1,394110
395,-17973.7,52208.3,34234.2,394115
400,-17973.5,52208.1,34234.1,394119
405,-17973.4,52207.9,34234.2,394122
410,-17973.2,52207.7,34234.1,394128
415,-17973.1,52207.5,34234.1,394133
420,-17972.9,52207.3,34234.1,394136
425,-17972.7,52207.1,34234.1,394142
430,-17972.5,52207,34234,394146
435,-17972.4,52206.7,34234.1,394151
440,-17972.2,52206.6,34234.1,394156
445,-17972,52206.3,34234.1,394161
450,-17971.9,52206.2,34234,394166
455,-17971.7,52206,34234.1,394170
460,-17971.5,52205.8,34234.1,394176
465,-17971.3,52205.5,34234.1,394181
470,-17971.1,52205.4,34234.1,394186
475,-17971,52205.2,34234.1,394191
480,-17970.8,52205,34234.1,394196
485,-17970.5,52204.8,34234,394201
490,-17970.4,52204.7,34234,394207
495,-17970.2,52204.4,34234.1,394213
500,-17970,52204.2,34234,394218
505,-17969.8,52204,34234,394224
510,-17969.6,52203.7,34234.1,394229
515,-17969.4,52203.5,34234,394235
520,-17969.2,52203.3,34234.1,394240
525,-17969,52203.1,34234,394246
530,-17968.8,52202.9,34234.1,394252
535,-17968.6,52202.7,34234.1,394258
540,-17968.4,52202.5,34234,394264
545,-17968.2,52202.2,34234,394270
550,-17967.9,52202.1,34234,394276
555,-17967.7,52201.8,34234,394283
560,-17967.5,52201.6,34234,394289
565,-17967.3,52201.4,34234,394294
570,-17967,52201.2,34234,394301
575,-17966.8,52200.9,34234,394307
580,-17966.6,52200.7,34234.1,394314
585,-17966.4,52200.5,34234,394320
590,-17966.1,52200.2,34234,394327
595,-17965.9,52199.9,34234,394333
600,-17965.7,52199.7,34234,394340
605,-17965.4,52199.5,34233.9,394346
610,-17965.2,52199.3,34233.9,394353
615,-17965,52199,34234,394360
620,-17964.7,52198.7,34234,394366
625,-17964.5,52198.5,34234,394373
630,-17964.2,52198.3,34234,394380
635,-17964,52198,34233.9,394387
640,-17963.7,52197.8,34233.9,394394
645,-17963.5,52197.5,34233.9,394401
650,-17963.2,52197.3,34234,394409
655,-17962.9,52197,34234,394416
660,-17962.7,52196.8,34234,394423
665,-17962.4,52196.5,34234,394431
670,-17962.2,52196.2,34233.9,394438
675,-17961.9,52195.9,34233.9,394445
680,-17961.7,52195.7,34233.9,394453
685,-17961.4,52195.4,34233.9,394460
690,-17961.1,52195.1,34233.9,394468
695,-17960.9,52194.8,34233.9,394475
700,-17960.6,52194.5,34233.9,394484
705,-17960.3,52194.2,34233.9,394491
710,-17960,52194,34233.9,394499
715,-17959.7,52193.7,34233.9,394508
720,-17959.4,52193.4,34233.9,394516
725,-17959.1,52193.1,34233.8,394522
730,-17958.9,52192.9,34233.9,394531
735,-17958.6,52192.5,34233.8,394539
740,-17958.3,52192.2,34233.8,394546
745,-17958,52191.9,34233.8,394555
750,-17957.7,52191.7,34233.8,394564
755,-17957.4,52191.3,34233.8,394572
760,-17957.1,52191,34233.8,394580
765,-17956.9,52190.8,34233.9,394589
770,-17956.6,52190.4,34233.8,394597
775,-17956.3,52190.1,34233.8,394606
780,-17956,52189.8,34233.8,394614
785,-17955.6,52189.5,34233.8,394623
790,-17955.3,52189.1,34233.8,394631
795,-17955,52188.8,34233.8,394640
800,-17954.7,52188.4,34233.8,394648
805,-17954.4,52188.1,34233.8,394658
810,-17954,52187.8,34233.8,394667
815,-17953.7,52187.5,34233.7,394676
820,-17953.4,52187.2,34233.7,394684
825,-17953.1,52186.9,34233.8,394694
830,-17952.8,52186.5,34233.7,394704
835,-17952.5,52186.2,34233.7,394712
840,-17952.1,52185.9,34233.7,394721
845,-17951.8,52185.6,34233.7,394731
850,-17951.4,52185.3,34233.7,394740
855,-17951.1,52184.9,34233.7,394749
860,-17950.8,52184.6,34233.7,394758
865,-17950.4,52184.2,34233.8,394769
870,-17950.1,52183.8,34233.7,394778
875,-17949.8,52183.4,34233.7,394788
880,-17949.4,52183.1,34233.7,394798
885,-17949.1,52182.7,34233.7,394807
890,-17948.7,52182.4,34233.7,394817
895,-17948.4,52182,34233.6,394828
900,-17948,52181.6,34233.6,394837
905,-17947.6,52181.3,34233.7,394847
910,-17947.3,52180.9,34233.7,394857
915,-17946.9,52180.6,34233.7,394867
920,-17946.6,52180.3,34233.7,394876
925,-17946.2,52179.9,34233.6,394887
930,-17945.9,52179.5,34233.6,394897
935,-17945.5,52179.1,34233.6,394908
940,-17945.1,52178.7,34233.5,394918
945,-17944.8,52178.3,34233.6,394928
950,-17944.4,52178,34233.5,394939
955,-17944,52177.6,34233.6,394949
960,-17943.6,52177.2,34233.6,394960
965,-17943.3,52176.8,34233.5,394971
970,-17942.9,52176.4,34233.5,394981
975,-17942.5,52176,34233.5,394992
980,-17942.1,52175.6,34233.5,395004
985,-17941.7,52175.2,34233.6,395014
990,-17941.4,52174.8,34233.5,395026
995,-17941,52174.4,34233.6,395036
1000,-17940.6,52174,34233.5,395046
1005,-17940.1,52173.7,34233.6,395058
1010,-17939.8,52173.3,34233.6,395070
1015,-17939.4,52172.9,34233.6,395080
1020,-17939,52172.4,34233.5,395092
1025,-17938.5,52172,34233.5,395103
1030,-17938.2,52171.6,34233.5,395114
1035,-17937.7,52171.2,34233.4,395125
1040,-17937.3,52170.8,34233.4,395137
1045,-17937,52170.4,34233.4,395148
1050,-17936.6,52170,34233.4,395160
1055,-17936.1,52169.6,34233.4,395172
1060,-17935.7,52169.1,34233.4,395183
1065,-17935.3,52168.7,34233.4,395195
1070,-17934.9,52168.2,34233.4,395207
1075,-17934.4,52167.7,34233.4,395219
1080,-17934,52167.4,34233.4,395231
1085,-17933.6,52166.9,34233.4,395242
1090,-17933.2,52166.5,34233.4,395255
1095,-17932.8,52166.1,34233.4,395267
1100,-17932.3,52165.7,34233.4,395279
1105,-17931.9,52165.2,34233.3,395291
1110,-17931.4,52164.9,34233.4,395304
1115,-17931,52164.4,34233.3,395315
1120,-17930.6,52164,34233.3,395328
1125,-17930.2,52163.5,34233.4,395340
1130,-17929.7,52163,34233.3,395353
1135,-17929.2,52162.6,34233.3,395366
1140,-17928.8,52162.1,34233.3,395378
1145,-17928.4,52161.6,34233.3,395391
1150,-17927.9,52161.2,34233.3,395403
1155,-17927.4,52160.7,34233.2,395416
1160,-17927,52160.3,34233.2,395429
1165,-17926.5,52159.8,34233.2,395442
1170,-17926.1,52159.4,34233.3,395454
1175,-17925.6,52158.9,34233.2,395467
1180,-17925.2,52158.5,34233.2,395481
1185,-17924.7,52158,34233.2,395493
1190,-17924.3,52157.5,34233.2,395507
1195,-17923.7,52157,34233.2,395520
1200,-17923.3,52156.5,34233.2,395533
1205,-17922.8,52156.1,34233.2,395548
1210,-17922.3,52155.5,34233.2,395560
1215,-17921.9,52155,34233.2,395573
1220,-17921.3,52154.5,34233.1,395587
1225,-17920.9,52154,34233.1,395601
1230,-17920.4,52153.5,34233.1,395614
1235,-17919.9,52153.1,34233.1,395627
1240,-17919.4,52152.6,34233.1,395642
1245,-17919,52152.1,34233.2,395655
1250,-17918.5,52151.6,34233.1,395668
1255,-17918,52151.1,34233.1,395684
1260,-17917.5,52150.6,34233.1,395697
1265,-17917,52150.1,34233.1,395710
1270,-17916.5,52149.6,34233.1,395724
1275,-17916,52149.1,34233.1,395738
1280,-17915.5,52148.6,34233,395753
1285,-17915,52148.1,34233,395767
1290,-17914.5,52147.5,34233,395781
1295,-17913.9,52147,34233.1,395795
1300,-17913.5,52146.5,34233,395810
1305,-17913,52146,34233,395824
1310,-17912.5,52145.5,34233,395839
1315,-17911.9,52144.9,34232.9,395853
1320,-17911.4,52144.4,34232.9,395868
1325,-17910.9,52143.9,34233,395883
1330,-17910.4,52143.4,34233,395897
1335,-17909.9,52142.8,34232.9,395912
1340,-17909.3,52142.2,34232.9,395926
1345,-17908.8,52141.7,34232.9,395941
1350,-17908.2,52141.2,34232.9,395957
1355,-17907.7,52140.6,34232.9,395972
1360,-17907.2,52140,34232.9,395987
1365,-17906.7,52139.5,34232.8,396001
1370,-17906.1,52139,34232.8,396017
1375,-17905.6,52138.4,34232.9,396031
1380,-17905,52137.9,34232.9,396046
1385,-17904.5,52137.3,34232.8,396062
1390,-17904,52136.8,34232.8,396078
1395,-17903.4,52136.2,34232.9,396093
1400,-17902.8,52135.6,34232.8,396108
1405,-17902.3,52135,34232.8,396125
1410,-17901.7,52134.4,34232.8,396139
1415,-17901.2,52133.9,34232.8,396155
1420,-17900.6,52133.3,34232.8,396171
1425,-17900.1,52132.8,34232.7,396186
1430,-17899.5,52132.2,34232.8,396202
1435,-17899,52131.7,34232.7,396219
1440,-17898.4,52131.1,34232.8,396234
1445,-17897.8,52130.6,34232.8,396250
1450,-17897.2,52130,34232.7,396266
1455,-17896.7,52129.4,34232.7,396283
1460,-17896.1,52128.8,34232.7,396298
1465,-17895.5,52128.3,34232.7,396314
1470,-17895,52127.6,34232.6,396331
1475,-17894.4,52127,34232.7,396348
1480,-17893.8,52126.4,34232.6,396363
1485,-17893.2,52125.8,34232.6,396380
1490,-17892.7,52125.3,34232.6,396397
1495,-17892,52124.7,34232.6,396412
1500,-17891.5,52124.1,34232.6,396429
1505,-17890.9,52123.5,34232.6,396445
1510,-17890.3,52122.9,34232.6,396462
1515,-17889.7,52122.2,34232.6,396480
1520,-17889.1,52121.6,34232.6,396496
1525,-17888.5,52121,34232.5,396513
1530,-17887.9,52120.4,34232.6,396530
1535,-17887.3,52119.8,34232.5,396546
1540,-17886.7,52119.2,34232.5,396564
1545,-17886.1,52118.6,34232.5,396582
1550,-17885.5,52118,34232.5,396598
1555,-17884.9,52117.4,34232.4,396615
1560,-17884.2,52116.7,34232.5,396633
1565,-17883.6,52116.1,34232.4,396650
1570,-17883,52115.5,34232.4,396667
1575,-17882.4,52114.9,34232.4,396684
1580,-17881.8,52114.3,34232.4,396702
1585,-17881.1,52113.7,34232.4,396719
1590,-17880.5,52113,34232.4,396737
1595,-17879.9,52112.4,34232.4,396755
1600,-17879.3,52111.7,34232.4,396772
1605,-17878.7,52111.1,34232.4,396790
1610,-17878,52110.4,34232.4,396808
1615,-17877.4,52109.8,34232.4,396826
1620,-17876.7,52109.1,34232.3,396844
1625,-17876.1,52108.5,34232.3,396862
1630,-17875.5,52107.8,34232.3,396879
1635,-17874.8,52107.1,34232.3,396898
1640,-17874.2,52106.4,34232.3,396916
1645,-17873.5,52105.8,34232.3,396934
1650,-17872.9,52105.1,34232.3,396953
1655,-17872.3,52104.5,34232.2,396970
1660,-17871.6,52103.9,34232.2,396989
1665,-17871,52103.1,34232.2,397007
1670,-17870.3,52102.5,34232.2,397025
1675,-17869.6,52101.8,34232.2,397044
1680,-17869,52101.2,34232.2,397063
1685,-17868.3,52100.5,34232.2,397082
1690,-17867.6,52099.8,34232.1,397100
1695,-17867,52099.1,34232.1,397119
1700,-17866.3,52098.4,34232.1,397138
1705,-17865.7,52097.7,34232.1,397157
1710,-17865,52097.1,34232.1,397175
1715,-17864.3,52096.4,34232.1,397194
1720,-17863.6,52095.7,34232.1,397213
1725,-17863,52095,34232.1,397233
1730,-17862.3,52094.4,34232,397252
1735,-17861.6,52093.7,34232.1,397270
