P,V,T
278731,512,34809.3
278731,512,34809.3
278731,512,34809.3
278730,512,34809.2
278728,512,34809
278724,512,34808.5
278718,512,34807.7
278710,512,34806.7
278700,512,34805.4
278690,512,34804.1
278679,512,34802.8
278668,512,34801.4
278655,512,34799.8
278642,512,34798.2
278628,512,34796.4
278612,512,34794.4
278595,512,34792.3
278578,512,34790.2
278559,512,34787.7
278540,512,34785.3
278519,512,34782.7
278497,512,34780
278474,512,34777.1
278450,512,34774.1
278426,512,34771
278400,512,34767.7
278373,512,34764.4
278344,512,34760.8
278315,512,34757.1
278285,512,34753.4
278253,512,34749.4
278221,512,34745.3
278187,512,34741.1
278153,512,34736.8
278117,512,34732.3
278080,512,34727.7
278043,512,34723
278003,512,34718.1
277964,512,34713.1
277923,512,34707.9
277881,512,34702.7
277838,512,34697.3
277793,512,34691.7
277748,512,34686.1
277702,512,34680.2
277654,512,34674.3
277606,512,34668.2
277556,512,34662
277506,512,34655.6
277454,512,34649.2
277402,512,34642.6
277348,512,34635.8
277293,512,34628.9
277236,512,34621.9
277180,512,34614.8
277121,512,34607.4
277063,512,34600.1
277002,512,34592.4
276940,512,34584.7
276878,512,34576.9
276815,512,34569
276750,512,34560.9
276684,512,34552.6
276618,512,34544.3
276550,512,34535.8
276481,512,34527.1
276411,512,34518.3
276340,512,34509.4
276268,512,34500.4
276194,512,34491.2
276120,512,34481.9
276045,512,34472.4
275969,512,34462.9
275891,512,34453.1
275813,512,34443.3
275733,512,34433.3
275652,512,34423.2
275570,512,34412.8
275487,512,34402.5
275403,512,34391.9
275318,512,34381.2
275232,512,34370.4
275145,512,34359.5
275056,512,34348.4
274967,512,34337.2
274876,512,34325.9
274785,512,34314.4
274692,512,34302.8
274598,512,34291
274504,512,34279.1
274408,512,34267.1
274310,512,34254.9
274212,512,34242.6
274113,512,34230.1
274012,512,34217.5
273911,512,34204.8
273809,512,34191.9
273705,512,34178.9
273600,512,34165.8
273495,512,34152.5
273388,512,34139.2
273280,512,34125.6
273171,512,34112
273061,512,34098.1
272949,512,34084.1
272837,512,34070
272723,512,34055.8
272609,512,34041.4
272493,512,34027
272376,512,34012.2
272258,512,33997.5
272140,512,33982.6
272019,512,33967.5
271898,512,33952.3
271776,512,33937
271652,512,33921.5
271528,512,33905.9
271402,512,33890.1
271275,512,33874.2
271148,512,33858.2
271019,512,33842
270889,512,33825.7
270758,512,33809.3
270625,512,33792.6
270492,512,33776
270358,512,33759.1
270222,512,33742.1
270086,512,33725
269947,512,33707.6
269809,512,33690.3
269668,512,33672.6
269528,512,33655
269385,512,33637.1
269242,512,33619.2
269097,512,33601
268951,512,33582.7
268805,512,33564.4
268657,512,33545.8
268508,512,33527.1
268358,512,33508.3
268208,512,33489.4
268054,512,33470.2
267901,512,33451
267747,512,33431.7
267591,512,33412.1
267434,512,33392.5
267277,512,33372.7
267118,512,33352.7
266958,512,33332.7
266796,512,33312.4
266634,512,33292.1
266471,512,33271.6
266306,512,33250.9
266140,512,33230.1
265973,512,33209.2
265805,512,33188.1
265636,512,33166.9
265466,512,33145.6
265294,512,33124.1
265122,512,33102.4
264948,512,33080.6
264774,512,33058.7
264598,512,33036.7
264421,512,33014.4
264243,512,32992.2
264063,512,32969.6
263883,512,32947.1
263702,512,32924.3
263519,512,32901.3
263335,512,32878.3
263150,512,32855.1
262964,512,32831.8
262777,512,32808.3
262589,512,32784.6
262400,512,32760.9
262209,512,32737
262017,512,32713
261824,512,32688.8
261630,512,32664.4
261435,512,32639.9
261239,512,32615.4
261041,512,32590.6
260843,512,32565.7
260643,512,32540.6
260442,512,32515.5
260240,512,32490.1
260037,512,32464.7
259833,512,32439
259628,512,32413.3
259422,512,32387.4
259213,512,32361.3
259005,512,32335.2
258795,512,32308.9
258585,512,32282.5
258372,512,32255.8
258159,512,32229.1
257945,512,32202.2
257729,512,32175.2
257513,512,32148
257295,512,32120.6
257076,512,32093.2
256856,512,32065.6
256635,512,32037.8
256412,512,32010
256189,512,31982
255965,512,31953.9
255739,512,31925.5
255512,512,31897.1
255285,512,31868.5
255055,512,31839.8
254825,512,31810.9
254594,512,31781.9
254362,512,31752.8
254129,512,31723.5
253894,512,31694.1
253658,512,31664.5
253421,512,31634.8
253184,512,31605
252945,512,31575
252704,512,31544.9
252463,512,31514.6
252221,512,31484.2
251977,512,31453.7
251734,512,31423.1
251488,512,31392.3
251241,512,31361.3
250994,512,31330.3
250745,512,31299.1
250495,512,31267.8
250244,512,31236.3
249992,512,31204.7
249739,512,31172.9
249485,512,31141
249230,512,31109.1
248973,512,31076.9
248716,512,31044.6
248457,512,31012.2
248199,512,30979.7
247938,512,30947.1
247677,512,30914.3
247414,512,30881.4
247151,512,30848.3
246886,512,30815.1
246620,512,30781.8
246354,512,30748.4
246087,512,30714.8
245818,512,30681.1
245548,512,30647.3
245277,512,30613.3
245006,512,30579.3
244733,512,30545.1
244459,512,30510.7
244185,512,30476.3
243909,512,30441.7
243632,512,30407
243355,512,30372.2
243076,512,30337.3
242797,512,30302.2
242517,512,30267.1
242234,512,30231.7
241952,512,30196.2
241669,512,30160.7
241385,512,30125.1
241099,512,30089.3
240812,512,30053.3
240525,512,30017.3
240237,512,29981.1
239948,512,29944.9
239658,512,29908.5
239367,512,29872
239075,512,29835.4
238782,512,29798.7
238488,512,29761.8
238194,512,29724.9
237898,512,29687.8
237601,512,29650.6
237305,512,29613.4
237006,512,29575.9
236707,512,29538.4
236407,512,29500.8
236106,512,29463
235805,512,29425.3
235502,512,29387.2
235199,512,29349.2
234894,512,29311
234589,512,29272.8
234283,512,29234.4
233976,512,29195.9
233668,512,29157.3
233360,512,29118.6
233050,512,29079.8
232741,512,29040.9
232429,512,29001.9
232118,512,28962.8
231805,512,28923.6
231492,512,28884.4
231178,512,28845
230863,512,28805.5
230547,512,28765.8
230231,512,28726.2
229914,512,28686.4
229596,512,28646.6
229278,512,28606.6
228958,512,28566.6
228638,512,28526.4
228318,512,28486.2
227997,512,28446
227675,512,28405.6
227352,512,28365
227028,512,28324.5
226705,512,28283.9
226379,512,28243.1
226054,512,28202.3
225728,512,28161.4
225401,512,28120.4
225074,512,28079.4
224746,512,28038.2
224417,512,27997
224088,512,27955.7
223759,512,27914.4
223428,512,27873
223097,512,27831.5
222766,512,27789.9
222434,512,27748.2
222101,512,27706.5
221768,512,27664.7
221434,512,27622.9
221100,512,27580.9
220765,512,27538.9
220430,512,27497
220094,512,27454.8
219758,512,27412.6
219421,512,27370.4
219084,512,27328.1
218746,512,27285.8
218408,512,27243.4
218069,512,27200.9
217731,512,27158.4
217392,512,27115.9
217052,512,27073.3
