vx,vy,vz,v
3.876120,-0.057400,0.769434,15.619633
2.857121,1.492280,0.943841,11.280873
-2.644903,1.108293,0.114405,8.236914
1.436430,-1.226925,-0.582543,3.908033
-0.932823,0.184196,2.158948,5.565142
-0.782237,-2.031247,0.752903,5.304720
-1.646387,0.099137,-3.101816,12.341681
0.372565,0.378809,0.635993,0.686788
2.086045,2.491714,3.416288,22.231253
-2.697525,3.103418,3.467263,28.929752
-0.220666,-1.447459,7.908553,64.689034
-0.357514,-0.092126,-4.241929,18.130264
1.316805,-2.049851,-1.218841,7.421438
2.516242,-2.055694,5.841331,44.678493
1.923152,-1.559644,-3.499238,18.375669
1.943786,-0.100708,2.391221,9.506385
-1.744255,-2.504383,-3.531164,21.783478
-1.717779,-4.149939,4.362268,39.202148
-0.011055,-0.849274,-2.747179,8.268380
1.172502,-0.892548,3.338732,13.318533
-3.468318,-2.962212,-3.273081,31.516991
-0.079711,0.764545,-4.217671,18.379635
0.331253,-5.174266,-2.506335,33.164474
1.264440,-0.081729,-1.636790,4.284569
-1.602703,2.264730,-1.989806,11.656986
-1.442000,-0.100231,-2.064154,6.350142
1.726175,2.385525,-0.656309,9.101151
1.630064,2.998863,-6.458672,53.364731
-3.127928,-1.474462,5.144070,38.419430
1.252390,-1.008617,0.681679,3.050477
-2.503340,2.123616,-1.213291,12.248528
3.908455,-0.584207,-2.654731,22.664917
2.188517,-2.654362,2.180276,16.588846
1.376537,0.502945,1.758843,5.241336
2.005385,6.192771,-2.574339,48.999207
4.572410,-2.153759,3.052880,34.865685
-1.791341,0.121261,1.456687,5.345546
-0.067262,1.447558,4.036158,18.390516
-0.876532,0.872575,1.800094,4.770034
-3.466547,-1.889791,4.330204,34.338928
-0.871817,2.168000,-3.376983,16.864304
-3.852778,1.904960,6.698560,63.343483
4.689118,-0.153524,0.914432,22.847582
0.345505,1.666511,4.969923,27.596771
-0.058989,0.079236,3.527537,12.453273
-0.828763,-2.574347,-3.378902,18.731092
2.781297,-2.172378,1.974747,16.354465
-1.523812,3.432878,-3.674059,27.605370
-0.234185,-1.509290,5.876878,36.870495
1.702607,-4.091434,-0.748028,20.198254
-2.689936,-1.598344,4.885750,33.661011
-1.347784,0.145437,4.214037,19.595785
-0.341924,-2.490095,3.727117,20.208885
-1.587049,-2.351185,-1.387624,9.972294
1.411122,-1.010616,3.624751,16.151432
0.975952,5.019423,-2.037389,30.298038
-1.064132,-2.995188,-0.868828,10.858387
-1.592125,-0.461222,-2.790119,10.532352
-1.573454,5.096425,-0.463567,28.664200
0.952685,3.238773,-1.429502,13.440738
0.419781,3.104461,3.074167,19.264400
1.459631,1.931108,-1.166361,7.220101
-2.606616,-2.491547,2.126351,17.523623
0.145188,5.004595,3.326360,36.131718
1.393752,-1.725646,-1.229109,6.431107
-0.207623,3.952017,1.914003,19.324951
-0.558050,0.882127,-4.272592,19.344610
0.987243,-1.124464,8.290968,70.979218
-2.875955,-0.685773,-3.534451,21.233744
0.117121,0.568210,-2.254427,5.419019
2.996178,1.222425,4.520995,30.910807
-2.150059,-0.464635,6.615049,48.597515
0.190691,-0.364467,2.035322,4.311737
-1.667112,-0.967077,1.404352,5.686704
-1.494998,-1.594467,1.436846,6.841872
-0.954198,1.354932,2.757985,10.352816
-0.474147,4.450937,-4.054792,36.476997
-0.833259,1.842323,-4.323058,22.777302
-1.956192,3.403648,2.233230,20.398821
-2.912954,3.422857,2.986588,29.120955
-0.090701,-1.324987,-3.303303,12.675629
-0.498539,-0.433560,-0.558887,0.748870
-1.140509,-0.797284,-3.294131,12.787721
-0.036073,-1.033274,3.810176,15.586397
-0.558855,0.469993,-6.054403,37.189007
-2.572707,-4.234307,-4.076615,41.166969
1.461884,4.438686,-0.632513,22.239115
0.803662,2.112940,-4.099752,21.918352
-0.806646,2.128655,-4.521956,25.629934
-0.202469,1.561557,-4.865555,26.153076
-3.587344,1.289499,0.037083,14.533223
-0.840474,1.995053,4.590980,25.763727
-1.464196,-2.557976,-0.285503,8.768624
0.648762,-2.226924,0.204203,5.421782
0.619883,2.643392,-3.181953,17.496597
1.020487,-2.202194,-0.131010,5.908216
-0.931173,-3.285863,0.208415,11.707414
-2.032197,-0.864700,-1.172904,6.253234
0.417767,3.523619,2.900318,21.002266
2.414091,0.932451,1.959877,10.538419
-1.245633,0.669958,-1.339437,3.794537
-2.139588,1.443948,0.867222,7.414896
-1.433549,-1.741360,6.044286,41.620796
-3.228830,-0.613199,-0.230895,10.854671
0.005603,-0.811678,0.480274,0.889515
-4.813381,1.803841,4.574281,47.346519
2.059767,1.834604,5.049720,33.108086
1.635937,7.577728,4.624244,81.481895
3.084433,-3.550394,-4.569619,43.000443
0.833090,-4.479424,3.776943,35.024570
0.453959,2.582030,4.260770,25.027115
1.947329,5.087989,6.250268,68.745567
-2.667349,0.079566,5.363133,35.884277
-0.314810,0.225193,-2.282025,5.357456
1.517079,-1.376169,-4.386735,23.438814
0.436242,0.012229,3.465858,12.202631
-1.343927,1.149280,4.477830,23.177948
2.176551,-1.482274,2.636309,13.884634
1.840946,-3.281786,-3.212461,24.479111
1.754756,-1.522782,4.182393,22.890448
-0.779230,0.289267,4.864706,24.356234
-3.443591,2.254983,-2.254166,22.024536
0.850552,1.249347,-6.031312,38.661034
1.518036,1.488070,2.911124,12.993425
-1.924233,2.374559,2.375919,14.986197
-0.779098,-2.626547,2.924798,16.060184
-1.837963,-2.295908,2.153264,13.285847
-2.315536,2.009616,-2.073916,13.701393
0.203766,-1.394071,-0.681785,2.449785
1.427141,0.224634,-4.370628,21.189585
-2.398903,4.235474,5.957427,59.184906
0.382530,4.109693,-1.355888,18.874340
0.232393,-1.522231,-0.362249,2.502419
-0.106613,-4.422170,-0.617223,19.947914
0.859657,0.343149,3.998334,16.843433
-3.880580,4.620684,-0.689438,36.884949
-2.674895,0.158546,2.246421,12.226604
-1.513301,1.127254,1.281160,5.202152
-0.238199,3.267311,3.646644,24.030071
-0.837221,8.227122,1.158567,69.728760
0.032623,-2.918987,4.708042,30.687206
-1.324200,-4.016591,1.089987,19.074581
-0.121702,-5.111700,5.901649,60.973747
0.052625,3.167495,3.821183,24.637230
2.796314,-5.577542,4.003070,54.952919
0.586228,2.808124,3.447325,20.113272
0.886782,-1.239989,4.158624,19.618107
-0.981279,-8.612214,3.494341,87.343559
-2.522088,3.345742,-5.174376,44.329090
2.352448,5.169288,-3.215312,42.593777
1.814898,-3.226683,-1.053020,14.814189
0.627439,2.582475,-0.037610,7.064271
-1.203781,2.910493,0.604141,10.285044
-0.572165,-0.771216,-3.556061,13.567718
-1.812310,-4.312372,0.867606,22.633759
-1.381574,4.661688,3.737911,37.612061
-0.571369,5.051415,-3.240360,36.343197
-4.542175,-1.051883,1.833072,25.097961
-0.185392,2.205861,-0.314034,4.998811
1.099673,3.704422,-3.013462,24.012974
0.047729,-0.895170,0.691490,1.281766
0.678467,-2.001224,-3.181901,14.589709
3.371730,-2.341937,-4.838160,40.261017
-0.595318,-2.976538,-4.493959,29.409847
1.239733,-2.911608,0.831987,10.706602
2.356696,3.503428,-1.118599,19.079292
-0.903446,2.811582,-1.741082,11.752572
1.110025,-0.880252,-0.604056,2.371884
-2.210562,4.536459,4.233441,43.388069
-0.273705,3.905060,4.685369,37.277088
2.069081,-4.994830,-2.956666,37.971298
0.351273,0.141335,1.866102,3.625707
1.058512,-1.242704,3.795776,17.072674
1.011266,-1.895705,4.421583,24.166756
1.738916,2.833625,2.876524,19.327652
-0.576843,0.141358,-3.239938,10.849930
-2.376689,2.208039,-0.771092,11.118670
1.324359,0.566440,2.950591,10.780769
-1.583624,-3.334590,3.204462,23.895935
-1.929160,-1.918075,-2.441008,13.359192
-1.703374,5.609564,3.735924,48.325821
0.364017,-1.446212,-4.412062,21.690325
-3.748785,-0.465771,-1.566334,16.723732
-0.708381,-1.226213,3.725741,15.886545
-1.664238,1.030819,-2.687419,11.054498
1.555046,0.800690,1.139837,4.358499
-1.724725,-2.082789,2.403251,13.088302
0.257977,0.014652,1.207879,1.525739
-0.371786,-1.777780,-2.998809,12.291580
0.649752,-0.408505,4.886564,24.467560
1.669540,7.501556,3.544480,71.624054
-1.779439,2.673854,4.497759,30.545734
1.445041,-2.909009,1.052652,11.658548
-3.277853,0.678828,-3.910609,26.497990
1.994247,1.826515,-3.999603,23.310001
-2.539140,2.048855,0.543546,10.940479
-0.127625,4.497510,5.780735,53.660782
0.247384,2.344625,1.869595,9.053850
-1.640355,-1.263347,-1.366481,6.154078
-3.469281,-7.927855,5.809114,108.632591
-1.983631,0.392181,3.240765,14.591155
1.628372,1.899079,-5.044206,31.702108
1.974322,-0.740920,2.404330,10.227711
-0.824013,-0.290261,0.141237,0.783197
-1.524952,3.580891,-2.297065,20.424763
-1.482875,-0.720393,1.649193,5.437721
3.562331,5.441718,2.831089,50.317558
0.089401,2.610828,-2.534726,13.249250
1.298771,3.470156,5.426056,43.170879
-1.847836,6.711560,-4.760824,71.124985
1.440058,-0.223477,3.019951,11.243814
0.557455,0.246229,-5.712937,33.009033
0.250215,0.494537,3.678593,13.839222
0.959050,-1.845736,-1.708671,7.246073
-1.543379,1.736471,3.854992,20.258316
2.515609,4.736100,-3.454326,40.691303
1.108815,4.325299,0.140167,19.957333
3.244211,-2.676818,-7.631357,75.927872
2.058851,4.899017,2.110553,32.693668
0.322879,4.588798,2.838884,29.220573
1.307550,4.409648,2.480351,27.306826
2.383100,-1.190558,-0.120571,7.111129
-2.420228,-3.852022,-4.219178,38.497040
-0.111336,-1.084470,-2.830611,9.200833
0.688432,1.805889,-1.451937,5.843294
-3.330711,0.937211,1.140633,13.273044
0.842942,5.271029,2.011916,32.542107
-1.278170,0.527016,2.731403,9.372028
-0.873706,-1.374502,-7.728000,62.374603
0.635919,-7.979915,1.506465,66.352875
3.169180,-7.569132,0.468158,67.554626
1.584056,-0.397823,1.818558,5.974652
-1.451645,-1.429570,0.712697,4.658881
1.288143,0.890903,1.166963,3.814824
-0.421149,-7.164538,0.674285,51.962635
0.153887,6.132299,1.103545,38.846584
0.273551,-2.302553,-5.460486,35.193493
3.349253,-7.935350,3.013348,83.267548
-1.720468,5.348252,4.721273,53.854225
4.178485,4.137504,-1.497964,36.822571
0.343348,-3.651270,4.352866,32.397102
0.733331,0.183677,4.537758,21.162758
-0.944972,8.407927,-5.211621,98.747192
-0.718169,0.959976,0.521105,1.708871
1.171844,2.903107,-4.560975,30.603741
0.415767,2.343546,-1.017669,6.700720
0.439755,1.967357,-6.109632,41.391483
-0.370546,4.773381,-1.333441,24.700537
0.331212,7.408444,-1.664333,57.764755
-0.015733,-1.727919,-1.764755,6.100313
-2.111378,-0.687129,-0.551392,5.234096
1.043883,-2.140260,-1.777437,8.829686
3.341429,0.598975,-3.023051,20.662752
0.585109,2.854895,0.537708,8.781910
-1.437084,-1.770287,-5.855378,39.484573
0.248466,3.482654,3.372754,23.566084
-0.917893,7.997372,2.296029,70.072235
-1.029905,3.334511,0.758267,12.754635
-3.376309,-2.161395,2.016493,20.137333
1.877668,1.044948,7.799715,65.453102
1.300932,3.060171,-1.284143,12.706096
0.952066,2.509729,-3.332727,18.312241
2.003537,7.783103,4.711331,86.787483
1.459483,2.422807,-0.378614,8.143433
-1.998805,1.183761,-2.173812,10.121972
2.618895,3.606427,0.307166,19.959276
3.497756,1.780130,-2.051472,19.611702
2.509473,3.719741,-5.368814,48.958092
0.810440,0.180557,1.507795,2.962860
0.461760,2.829558,-4.523997,28.686171
1.474899,4.435501,1.801196,25.093300
1.075559,-0.738488,-4.531599,22.237581
-6.065770,3.606036,-2.898163,58.196404
0.002166,6.752098,-3.599685,58.548565
3.232222,4.718171,4.803936,55.786201
1.438518,1.154692,-5.600113,34.763912
-2.514501,-5.077729,-2.866394,40.322266
-1.358638,0.430108,5.310778,30.235256
3.103606,-1.773448,-6.228874,51.576355
0.530097,0.218910,3.389492,11.817579
1.863385,5.938689,-1.411912,40.733723
-0.491289,3.844602,-0.178126,15.054058
-1.479774,2.098280,-1.603747,9.164517
0.318645,0.138822,-5.349423,28.737137
-1.248660,1.700336,-4.352791,23.397085
1.802948,0.590291,-1.889629,7.169761
-2.008988,1.202731,-0.158108,5.507593
-2.159835,3.332719,-3.888097,30.889200
-3.785103,6.252405,-0.643997,53.834293
-2.249722,3.168069,-4.494930,35.302307
1.683310,5.659722,-2.326360,40.277935
-0.629616,2.250994,-2.551934,11.975756
0.698455,-4.588262,2.062366,25.793339
-2.143245,7.506569,1.892640,64.524162
2.279421,1.731644,-0.752846,8.761130
1.124340,0.006242,0.569109,1.588064
1.344012,2.486987,3.869325,22.963150
2.008603,2.220731,8.553077,82.121246
1.357013,-5.190614,3.074673,38.237576
1.403556,1.996796,4.018200,22.103096
0.912267,-7.957435,3.400213,75.714455
-1.462048,1.128158,-1.599541,5.968856
-1.510443,1.583255,-3.649833,18.109417
-0.646157,1.063411,4.990931,26.457748
1.628372,-3.268641,3.734950,27.285463
-0.578472,2.506085,3.999256,22.609138
-0.699687,-3.275925,4.358915,30.221386
0.401843,5.721845,3.890782,48.039169
-1.214851,-5.635077,-4.187727,50.767006
3.417248,-7.799165,-1.015739,73.536285
0.837936,5.867282,3.690868,48.749645
0.561532,3.241353,1.232083,12.339714
1.613890,3.925384,-2.269486,23.163847
2.715827,7.292233,1.017391,61.587463
1.043625,-4.872166,0.108808,24.838991
3.209200,-3.690196,-5.820643,57.796394
-0.360015,3.633134,-0.668182,13.775743
