t,Potential,Kinetic,Total,Virial
1000,-2439.21,19.3664,-2419.84,-402.075
2000,-2432.12,12.2845,-2419.84,-21.0112
3000,-2429.44,9.59848,-2419.85,50.8392
4000,-2432.02,12.1707,-2419.85,-241.507
5000,-2434.68,14.835,-2419.85,-569.356
6000,-2434.67,14.8223,-2419.84,-719.193
7000,-2432.45,12.6084,-2419.84,-711.176
8000,-2429.95,10.1041,-2419.84,-693.884
9000,-2428.85,9.00693,-2419.85,-797.649
10000,-2429.37,9.5222,-2419.84,-1019.2
11000,-2430.07,10.2222,-2419.85,-1223.56
12000,-2429.35,9.51145,-2419.84,-1277.01
13000,-2427.32,7.47414,-2419.84,-1190.57
14000,-2425.95,6.1048,-2419.84,-1114.96
15000,-2426.74,6.89464,-2419.85,-1160.31
16000,-2428.62,8.77934,-2419.85,-1257.86
17000,-2429.65,9.80568,-2419.85,-1267.95
18000,-2429.22,9.37982,-2419.84,-1146.05
19000,-2428.49,8.64006,-2419.85,-979.464
20000,-2428.84,8.99321,-2419.85,-879.323
21000,-2430.24,10.3935,-2419.85,-854.28
22000,-2431.69,11.8432,-2419.85,-833.453
23000,-2432.57,12.7232,-2419.85,-765.444
24000,-2432.7,12.8569,-2419.85,-651.089
25000,-2432.5,12.6578,-2419.84,-542.144
26000,-2432.68,12.832,-2419.84,-492.68
27000,-2432.99,13.1448,-2419.85,-485.272
28000,-2433.12,13.271,-2419.85,-483.945
29000,-2433,13.1554,-2419.84,-476.358
30000,-2432.77,12.9211,-2419.85,-479.025
31000,-2432.87,13.0248,-2419.84,-530.461
32000,-2433.31,13.4657,-2419.85,-631.078
33000,-2433.38,13.5393,-2419.84,-724.37
34000,-2432.43,12.5845,-2419.84,-753.452
35000,-2430.78,10.9373,-2419.84,-732.431
36000,-2429.86,10.0145,-2419.84,-747.831
37000,-2430.23,10.3867,-2419.85,-835.456
38000,-2430.66,10.8129,-2419.84,-921.547
39000,-2430.33,10.4844,-2419.85,-948.787
40000,-2429.84,9.99508,-2419.85,-944.196
41000,-2429.66,9.81166,-2419.84,-942.412
42000,-2429.79,9.94267,-2419.85,-953.497
43000,-2430.13,10.2809,-2419.85,-970.071
44000,-2430.4,10.5513,-2419.85,-968.429
45000,-2430.36,10.5134,-2419.85,-928.86
46000,-2430.25,10.4023,-2419.85,-864.814
47000,-2430.42,10.5702,-2419.85,-806.192
48000,-2431.05,11.2025,-2419.84,-776.074
49000,-2431.83,11.9812,-2419.85,-762.825
50000,-2432.08,12.2385,-2419.85,-729.597
51000,-2431.86,12.014,-2419.85,-676.246
52000,-2431.65,11.8039,-2419.85,-631.791
53000,-2431.74,11.8925,-2419.85,-616.785
54000,-2432.06,12.2109,-2419.84,-630.583
55000,-2432.24,12.398,-2419.85,-652.857
56000,-2432.19,12.3473,-2419.84,-672.358
57000,-2431.96,12.113,-2419.84,-686.363
58000,-2431.62,11.7785,-2419.85,-696.46
59000,-2431.34,11.4924,-2419.85,-710.431
60000,-2431.21,11.3628,-2419.84,-735.338
61000,-2431.36,11.5133,-2419.84,-775.045
62000,-2431.44,11.5901,-2419.84,-808.31
63000,-2431.29,11.4441,-2419.84,-823.031
64000,-2431.04,11.1967,-2419.85,-822.149
65000,-2430.67,10.8252,-2419.84,-805.679
66000,-2430.62,10.7713,-2419.85,-797.334
67000,-2431.08,11.2339,-2419.85,-806.526
68000,-2431.48,11.6315,-2419.85,-802.4
69000,-2431.53,11.6879,-2419.85,-771.187
70000,-2431.38,11.5355,-2419.84,-728.307
71000,-2431.28,11.4319,-2419.85,-697.699
72000,-2431.54,11.6988,-2419.85,-696.6
73000,-2431.98,12.1309,-2419.84,-708.852
74000,-2432.04,12.191,-2419.85,-701.977
75000,-2431.84,11.9929,-2419.85,-681.315
76000,-2431.92,12.0797,-2419.84,-676.629
77000,-2432.04,12.194,-2419.85,-681.171
78000,-2431.9,12.0552,-2419.85,-683.34
79000,-2431.63,11.7854,-2419.85,-688.796
80000,-2431.29,11.4495,-2419.85,-701.045
81000,-2431.11,11.2678,-2419.85,-731.474
82000,-2431.12,11.2763,-2419.85,-778.612
83000,-2430.87,11.0241,-2419.84,-813.008
84000,-2430.45,10.6091,-2419.84,-834.423
85000,-2430.27,10.4249,-2419.85,-863.213
86000,-2430.34,10.4966,-2419.85,-899.361
87000,-2430.31,10.462,-2419.85,-919.193
88000,-2430.04,10.1915,-2419.85,-913.425
89000,-2429.9,10.0575,-2419.85,-903.308
90000,-2430.09,10.2469,-2419.85,-901.021
91000,-2430.25,10.4095,-2419.85,-891.803
92000,-2430.43,10.5858,-2419.85,-877.748
93000,-2430.7,10.8541,-2419.84,-859.671
94000,-2430.7,10.8513,-2419.85,-817.875
95000,-2430.67,10.8263,-2419.85,-766.34
96000,-2430.92,11.0709,-2419.85,-731.053
97000,-2431.5,11.6568,-2419.84,-722.767
98000,-2432.24,12.3907,-2419.85,-726.671
99000,-2432.6,12.7557,-2419.85,-708.691
100000,-2432.38,12.5343,-2419.84,-657.706
101000,-2431.95,12.1005,-2419.85,-601.175
102000,-2431.72,11.8701,-2419.85,-568.456
103000,-2431.85,12.0053,-2419.84,-569.752
104000,-2432.15,12.3004,-2419.84,-592.136
105000,-2432.36,12.5172,-2419.85,-618.999
106000,-2432.39,12.5497,-2419.84,-642.085
107000,-2432.25,12.4077,-2419.85,-661.547
108000,-2431.94,12.0941,-2419.84,-678.56
109000,-2431.66,11.8197,-2419.85,-702.689
110000,-2431.44,11.5926,-2419.84,-731.584
111000,-2431.15,11.3082,-2419.85,-754.221
112000,-2430.82,10.9772,-2419.85,-766.666
113000,-2430.53,10.6862,-2419.84,-776.109
114000,-2430.53,10.686,-2419.85,-801.164
115000,-2430.74,10.8944,-2419.85,-840.529
116000,-2430.7,10.8582,-2419.85,-869.773
117000,-2430.49,10.6466,-2419.85,-885.401
118000,-2430.36,10.5164,-2419.85,-894.726
119000,-2430.22,10.3716,-2419.85,-890.462
120000,-2429.97,10.1249,-2419.84,-871.688
121000,-2429.98,10.135,-2419.85,-863.549
122000,-2430.47,10.626,-2419.85,-879.778
123000,-2430.9,11.0517,-2419.84,-887.742
124000,-2430.75,10.9071,-2419.84,-856.756
125000,-2430.4,10.5533,-2419.85,-807.31
126000,-2430.37,10.5199,-2419.84,-774.28
127000,-2430.74,10.8951,-2419.84,-766.069
128000,-2431.25,11.4064,-2419.85,-766.678
129000,-2431.62,11.7784,-2419.85,-759.032
130000,-2431.91,12.0651,-2419.85,-746.35
131000,-2432.03,12.1882,-2419.84,-729.295
132000,-2431.89,12.0463,-2419.85,-705.756
133000,-2431.67,11.8276,-2419.85,-681.792
134000,-2431.53,11.6882,-2419.85,-659.735
135000,-2431.49,11.6446,-2419.85,-636.387
136000,-2431.53,11.6828,-2419.85,-613.726
137000,-2431.79,11.9402,-2419.85,-606.722
138000,-2432.43,12.583,-2419.85,-629.854
139000,-2433.06,13.2173,-2419.84,-660.878
140000,-2432.99,13.1497,-2419.85,-659.931
141000,-2432.32,12.4763,-2419.84,-630.976
142000,-2431.74,11.8998,-2419.85,-613.495
143000,-2431.62,11.7779,-2419.84,-627.499
