t,Potential,Kinetic,Total,Virial
1000,5564.64,2318.84,7883.48,285505
2000,3381.59,4502.66,7884.25,222214
3000,2020.81,5863.34,7884.14,179711
4000,263.816,7620.38,7884.2,127823
5000,-359.784,8244.94,7885.15,108279
6000,399.168,7486.05,7885.21,127785
7000,450.535,7434.34,7884.88,129866
8000,371.675,7513.35,7885.03,128214
9000,388.718,7496.11,7884.83,128692
10000,216.638,7668.42,7885.05,124318
11000,509.935,7375.09,7885.03,132355
12000,516.713,7368.33,7885.04,133184
13000,693.991,7191.05,7885.05,138435
14000,844.034,7040.99,7885.03,142849
15000,953.195,6931.75,7884.94,145772
16000,695.301,7189.55,7884.86,138671
17000,618.033,7266.95,7884.98,136137
18000,506.259,7378.6,7884.86,132875
19000,447.389,7437.61,7885,131201
20000,476.62,7408.36,7884.98,132142
21000,574.885,7310.16,7885.05,134901
22000,713.768,7171.21,7884.98,138492
23000,628.56,7256.32,7884.89,135995
24000,410.424,7474.47,7884.89,129877
25000,345.841,7539.11,7884.95,127883
26000,395.498,7489.56,7885.06,129214
27000,596.718,7288.4,7885.12,134981
28000,881.989,7003.06,7885.04,142980
29000,822.753,7062.17,7884.92,141543
30000,642.383,7242.47,7884.85,136401
31000,326.765,7558.12,7884.89,127642
32000,291.673,7593.35,7885.02,126371
33000,403.98,7481.12,7885.1,129387
34000,643.709,7241.36,7885.06,135910
35000,656.96,7227.96,7884.92,136254
36000,428.959,7455.97,7884.92,130078
37000,456.212,7428.81,7885.01,130779
38000,461.336,7423.63,7884.97,131284
39000,455.904,7429.16,7885.06,131644
40000,658.902,7226.09,7885,137097
41000,563.801,7321.17,7884.97,134380
42000,537.088,7347.85,7884.93,133306
43000,532.999,7352.05,7885.05,133237
44000,585.74,7299.22,7884.96,134992
45000,582.28,7302.74,7885.02,135267
46000,705.016,7180.04,7885.05,138545
47000,661.901,7223.03,7884.93,137271
48000,649.974,7235.01,7884.98,136570
49000,378.293,7506.53,7884.82,129136
50000,399.39,7485.78,7885.17,129763
51000,820,7065.15,7885.15,141240
52000,832.35,7052.57,7884.93,141922
53000,763.546,7121.48,7885.03,139968
54000,701.425,7183.44,7884.86,137847
55000,461.04,7423.92,7884.96,131182
56000,458.104,7426.92,7885.02,131084
57000,549.059,7336,7885.06,133647
58000,515.231,7369.69,7884.92,132818
59000,539.393,7345.72,7885.12,133634
60000,604.979,7279.98,7884.96,135683
61000,595.23,7289.74,7884.97,135506
62000,369.252,7515.63,7884.89,129434
63000,360.751,7524.33,7885.08,129109
64000,632.44,7252.77,7885.2,136370
65000,710.108,7174.73,7884.84,138449
66000,502.304,7382.69,7885,132987
67000,485.382,7399.61,7884.99,132501
68000,455.382,7429.61,7884.99,131745
69000,488.928,7396.12,7885.05,132765
70000,566.786,7318.24,7885.03,134925
71000,598.239,7286.74,7884.98,135585
72000,576.131,7308.9,7885.03,134793
73000,672.605,7212.42,7885.02,137127
74000,591.412,7293.54,7884.95,134753
75000,397.956,7486.93,7884.88,129482
76000,433.968,7451.17,7885.14,130525
77000,527.387,7357.56,7884.95,133232
78000,522.39,7362.67,7885.06,133449
79000,689.16,7195.87,7885.03,138158
80000,704.957,7180.02,7884.97,138670
81000,475.666,7409.19,7884.86,132418
82000,365.381,7519.65,7885.04,129310
83000,599.623,7285.5,7885.12,135531
84000,628.281,7256.67,7884.96,136500
85000,622.856,7262.17,7885.03,136351
86000,607.882,7277.05,7884.94,135802
87000,548.697,7336.28,7884.98,134054
88000,594.22,7290.8,7885.02,135154
89000,585.545,7299.45,7884.99,135077
90000,648.79,7236.24,7885.03,136927
91000,660.895,7224.05,7884.95,137398
92000,487.862,7397,7884.87,132744
93000,449.804,7435.26,7885.06,131455
94000,555.08,7329.94,7885.02,134024
95000,477.024,7407.87,7884.89,131781
96000,401.879,7483.19,7885.07,129825
97000,542.677,7342.35,7885.03,133858
98000,640.829,7244.29,7885.12,136937
99000,744.34,7140.57,7884.91,139951
100000,681.418,7203.58,7885,138432
101000,632.09,7252.85,7884.94,137338
102000,714.975,7170.16,7885.13,139864
103000,908.946,6976.04,7884.99,145042
104000,802.476,7082.46,7884.94,141992
105000,702.399,7182.52,7884.93,138938
106000,605.875,7279.08,7884.96,136101
107000,479.091,7405.83,7884.92,132560
108000,476.953,7408.05,7885,132268
109000,461.564,7423.38,7884.94,131591
110000,422.529,7462.53,7885.06,130424
111000,581.197,7303.83,7885.03,134663
112000,614.586,7270.42,7885.01,135691
113000,580.168,7304.73,7884.9,134709
114000,494.689,7390.37,7885.06,132494
115000,656.219,7228.77,7884.99,136815
116000,672.662,7212.29,7884.94,137255
117000,508.554,7376.39,7884.95,132903
118000,582.344,7302.63,7884.99,134734
119000,376.254,7508.6,7884.85,129374
120000,351.633,7533.5,7885.14,129014
121000,807.927,7077.29,7885.22,141535
122000,902.459,6982.38,7884.84,144172
123000,533.15,7351.69,7884.83,134066
124000,441.995,7443.05,7885.04,131334
125000,579.219,7305.84,7885.06,134933
126000,568.794,7316.12,7884.92,134592
127000,490.847,7394.19,7885.04,132381
128000,485.675,7399.24,7884.92,132073
129000,437.628,7447.4,7885.03,130891
130000,515.429,7369.64,7885.07,133389
131000,701.912,7183.13,7885.04,138630
132000,552.294,7332.63,7884.91,134785
133000,526.762,7358.26,7885.02,133802
134000,433.402,7451.47,7884.88,130868
135000,332.671,7552.39,7885.06,127896
136000,447.367,7437.67,7885.04,130923
137000,384.734,7500.23,7884.96,129528
138000,372.469,7512.61,7885.08,129577
139000,584.617,7300.49,7885.1,135573
140000,705.423,7179.61,7885.03,139006
141000,647.703,7237.17,7884.88,137260
142000,376.618,7508.34,7884.97,129830
143000,466.278,7418.83,7885.1,131951
144000,537.046,7347.96,7885,133636
145000,582.982,7302.09,7885.07,134549
146000,478.066,7406.79,7884.85,131403
147000,260.08,7624.97,7885.05,125492
148000,516.102,7369.07,7885.17,132405
149000,649.145,7235.88,7885.02,136441
150000,733.099,7152.01,7885.11,139189
151000,827.751,7057.18,7884.93,141873
152000,613.73,7271.29,7885.01,136301
153000,661.2,7223.88,7885.08,137502
154000,733.376,7151.6,7884.97,139286
155000,590.419,7294.51,7884.93,135242
156000,403.613,7481.35,7884.97,130036
157000,411.208,7473.85,7885.05,130196
