t,Potential,Kinetic,Total,Virial
1000,-16122.3,554.262,-15568.1,-41870.7
2000,-15777.3,208.852,-15568.4,-28762
3000,-15973,404.526,-15568.5,-36436
4000,-16013.8,445.443,-15568.4,-38026.3
5000,-16044.8,476.371,-15568.4,-38898
6000,-16102.3,533.929,-15568.4,-41293.1
7000,-16059.1,490.785,-15568.3,-39722.8
8000,-15996.6,428.265,-15568.4,-37222.2
9000,-16039.6,471.215,-15568.4,-38955.3
10000,-16070.8,502.452,-15568.4,-40191.8
11000,-16024.6,456.232,-15568.4,-38314.7
12000,-16027.5,459.07,-15568.4,-38425
13000,-16051.6,483.261,-15568.4,-39413.2
14000,-16040.9,472.518,-15568.4,-38943.3
15000,-16045.8,477.464,-15568.4,-39071
16000,-16041.8,473.439,-15568.4,-38983.6
17000,-16023.4,455.069,-15568.4,-38332.2
18000,-16045.3,476.927,-15568.4,-39081.4
19000,-16049.7,481.35,-15568.4,-39253.2
20000,-16043.7,475.319,-15568.4,-39057.6
21000,-16046.1,477.692,-15568.4,-39168.8
22000,-16036.1,467.706,-15568.4,-38746.8
23000,-16031.1,462.715,-15568.4,-38520.3
24000,-16043,474.587,-15568.4,-39009.7
25000,-16049.9,481.53,-15568.4,-39289.1
26000,-16045.5,477.131,-15568.4,-39078.4
27000,-16049.5,481.081,-15568.4,-39229.1
28000,-16053.6,485.27,-15568.4,-39391.7
29000,-16039.8,471.383,-15568.4,-38867.4
30000,-16040.3,471.939,-15568.4,-38892.2
31000,-16032.6,464.219,-15568.4,-38622
32000,-16021.2,452.867,-15568.4,-38210.8
33000,-16037,468.572,-15568.4,-38796.8
34000,-16051.9,483.562,-15568.4,-39367.2
35000,-16059.5,491.137,-15568.4,-39598.4
36000,-16048,479.662,-15568.4,-39137.4
37000,-16024.4,456.034,-15568.3,-38313.9
38000,-16024.3,455.971,-15568.4,-38346.8
39000,-16039.3,470.865,-15568.4,-38903.3
40000,-16054.4,486.022,-15568.4,-39445.4
41000,-16053.3,484.908,-15568.4,-39379.1
42000,-16041.9,473.511,-15568.4,-38968.4
43000,-16038.3,469.945,-15568.4,-38845.2
44000,-16028.6,460.271,-15568.4,-38465.1
45000,-16029.6,461.22,-15568.4,-38491.1
46000,-16046.2,477.788,-15568.4,-39116.5
47000,-16051,482.651,-15568.4,-39315.4
48000,-16051.5,483.151,-15568.4,-39353.5
49000,-16043,474.599,-15568.4,-39043.3
50000,-16030.1,461.708,-15568.4,-38532.4
51000,-16042.2,473.783,-15568.4,-38962.6
52000,-16055.4,486.978,-15568.4,-39473.5
53000,-16045,476.678,-15568.4,-39048.4
54000,-16034.7,466.282,-15568.4,-38659.5
55000,-16048.3,479.942,-15568.4,-39214.8
56000,-16045.8,477.485,-15568.4,-39093.7
57000,-16028.9,460.579,-15568.4,-38445.5
58000,-16041.4,473.006,-15568.4,-38961
59000,-16038.2,469.856,-15568.4,-38844
60000,-16029.3,460.89,-15568.4,-38493.5
61000,-16044.4,476.019,-15568.4,-39084.3
62000,-16046,477.647,-15568.4,-39140
63000,-16036.8,468.479,-15568.4,-38746.1
64000,-16037.9,469.474,-15568.4,-38822.9
65000,-16051.4,483.047,-15568.4,-39357.9
66000,-16049.4,481.066,-15568.4,-39241.2
67000,-16036.9,468.564,-15568.4,-38776.2
68000,-16044.2,475.834,-15568.4,-39089.3
69000,-16039,470.666,-15568.4,-38890.1
70000,-16039.6,471.179,-15568.4,-38865.7
71000,-16045.7,477.306,-15568.4,-39114
72000,-16048.1,479.733,-15568.4,-39209.7
73000,-16040.1,471.686,-15568.4,-38917.8
74000,-16039.9,471.485,-15568.4,-38893.5
75000,-16039.8,471.483,-15568.4,-38879
76000,-16038,469.66,-15568.4,-38801.1
77000,-16034.1,465.736,-15568.4,-38689
78000,-16044.5,476.086,-15568.4,-39057.1
79000,-16039.5,471.081,-15568.4,-38849.1
80000,-16037.3,468.972,-15568.4,-38810.7
81000,-16051,482.664,-15568.4,-39318.7
82000,-16043.5,475.095,-15568.4,-39013.5
83000,-16043.2,474.819,-15568.4,-39031.2
84000,-16043.1,474.696,-15568.4,-39082.6
85000,-16038.3,469.986,-15568.4,-38873.2
86000,-16038.2,469.84,-15568.4,-38840.6
87000,-16038.8,470.382,-15568.4,-38870.7
88000,-16041.6,473.292,-15568.4,-38964.1
89000,-16048.6,480.202,-15568.4,-39210.8
90000,-16043.6,475.207,-15568.4,-39041.7
91000,-16037.2,468.833,-15568.4,-38768.6
92000,-16033.6,465.222,-15568.4,-38643
93000,-16045.8,477.449,-15568.4,-39140.1
94000,-16040.2,471.842,-15568.4,-38955.3
95000,-16037.4,469.037,-15568.4,-38818.7
96000,-16041.4,473.014,-15568.4,-38985.1
97000,-16052.1,483.761,-15568.4,-39393.7
98000,-16040.3,471.9,-15568.4,-38956.5
99000,-16042.4,474.044,-15568.4,-39022.7
100000,-16044.1,475.695,-15568.4,-39084
101000,-16038.4,470.035,-15568.4,-38825.4
102000,-16034,465.599,-15568.4,-38654.1
103000,-16042.2,473.842,-15568.4,-38980.3
104000,-16044.1,475.7,-15568.4,-39050.8
105000,-16046.7,478.31,-15568.4,-39143.8
106000,-16046.2,477.835,-15568.3,-39145.7
107000,-16036.8,468.457,-15568.4,-38796.6
108000,-16034.9,466.529,-15568.4,-38716.5
109000,-16042.7,474.274,-15568.4,-39006.1
110000,-16046.5,478.101,-15568.4,-39113.4
111000,-16036,467.624,-15568.4,-38711.1
112000,-16034.7,466.362,-15568.4,-38686.1
113000,-16043.1,474.734,-15568.4,-39034.6
114000,-16048.3,479.962,-15568.4,-39243.1
115000,-16044.2,475.839,-15568.4,-39095
116000,-16038.4,470.051,-15568.4,-38862.9
117000,-16041.4,473.046,-15568.4,-38955.7
118000,-16044.8,476.402,-15568.4,-39095.8
119000,-16042.1,473.67,-15568.4,-38962.2
120000,-16036.7,468.366,-15568.4,-38739.8
121000,-16045.4,477.048,-15568.4,-39091.7
122000,-16046,477.625,-15568.4,-39123.5
123000,-16035.1,466.689,-15568.4,-38687.2
124000,-16030.6,462.228,-15568.4,-38513.5
125000,-16035.9,467.506,-15568.4,-38762.1
126000,-16052,483.629,-15568.4,-39346.8
127000,-16048.2,479.839,-15568.4,-39175.2
128000,-16046,477.624,-15568.4,-39120.3
129000,-16051.6,483.212,-15568.4,-39351.9
130000,-16037.7,469.317,-15568.4,-38846.4
131000,-16033.6,465.217,-15568.4,-38692.2
132000,-16039.5,471.086,-15568.4,-38892
133000,-16044,475.63,-15568.4,-39064.6
134000,-16050.4,482.023,-15568.4,-39288.5
135000,-16041.8,473.457,-15568.4,-38950.7
136000,-16034.4,466.042,-15568.4,-38687.1
137000,-16036,467.624,-15568.4,-38774.8
138000,-16040,471.638,-15568.4,-38966.1
139000,-16045.8,477.408,-15568.4,-39141.2
140000,-16038.1,469.785,-15568.4,-38801.5
141000,-16045.6,477.239,-15568.4,-39063.8
142000,-16047.4,478.987,-15568.4,-39159
143000,-16035,466.651,-15568.4,-38713.7
144000,-16032.1,463.759,-15568.4,-38611.7
145000,-16041.7,473.365,-15568.4,-38989
146000,-16043.3,474.897,-15568.4,-39050.3
147000,-16043.3,474.913,-15568.4,-39025.6
148000,-16043.4,474.983,-15568.4,-39020.6
149000,-16038,469.635,-15568.4,-38833.7
150000,-16040.2,471.855,-15568.4,-38902.4
151000,-16039.1,470.772,-15568.4,-38856.1
152000,-16045.8,477.457,-15568.4,-39073.6
153000,-16045.1,476.765,-15568.4,-39080.2
154000,-16044,475.638,-15568.4,-39068.5
