t,Potential,Kinetic,Total,Virial
100,-20694.4,12248.4,-8446.06,296233
200,-20612.6,12166.6,-8445.86,298651
300,-20539.9,12093.8,-8446.17,300679
400,-20569.5,12122.6,-8446.8,299852
500,-20684.1,12237.2,-8446.84,296713
600,-20714.7,12268.5,-8446.14,295819
700,-20643.8,12197.8,-8445.99,297684
800,-20605.7,12159.4,-8446.28,298759
900,-20593,12146.7,-8446.29,299160
1000,-20588.6,12142.2,-8446.39,299337
1100,-20608.4,12161.9,-8446.48,298860
1200,-20632.8,12186.3,-8446.49,298170
1300,-20684,12237.3,-8446.72,296671
1400,-20756.1,12309.5,-8446.6,294580
1500,-20762.2,12316,-8446.2,294250
1600,-20708.8,12262.8,-8446.01,295574
1700,-20642.8,12196.7,-8446.08,297298
1800,-20609.6,12163.2,-8446.28,298160
1900,-20611.6,12165.2,-8446.46,298031
2000,-20651,12204.4,-8446.66,296867
2100,-20717,12270.3,-8446.68,295019
2200,-20741,12294.7,-8446.26,294363
2300,-20692.6,12246.5,-8446.09,295733
2400,-20646.3,12200.1,-8446.2,297156
2500,-20633.7,12187.3,-8446.39,297707
2600,-20646.6,12200.2,-8446.44,297549
2700,-20652.1,12205.8,-8446.35,297546
2800,-20654.9,12208.4,-8446.47,297597
2900,-20698.9,12252.2,-8446.64,296580
3000,-20735.6,12289.2,-8446.41,295775
3100,-20710.7,12264.6,-8446.07,296599
3200,-20636.2,12190.2,-8445.99,298670
3300,-20598.2,12151.9,-8446.39,299656
3400,-20624.4,12177.9,-8446.52,298819
3500,-20662.3,12215.7,-8446.57,297592
3600,-20707.2,12260.7,-8446.5,296216
3700,-20725.7,12279.3,-8446.37,295620
3800,-20724,12277.7,-8446.28,295634
3900,-20703.6,12257.4,-8446.21,296193
4000,-20680.6,12234.5,-8446.23,296861
4100,-20646.5,12200.4,-8446.14,297829
4200,-20600.7,12154.5,-8446.13,299032
4300,-20577,12130.7,-8446.36,299510
4400,-20616.8,12170.1,-8446.71,298186
4500,-20706,12259.3,-8446.75,295515
4600,-20750.7,12304.4,-8446.35,294078
4700,-20722.9,12276.7,-8446.12,294685
4800,-20675.9,12229.7,-8446.15,295907
4900,-20656.9,12210.6,-8446.36,296412
5000,-20676.2,12229.7,-8446.51,295880
5100,-20721.3,12210.1,-8511.19,294662
5200,-20769.8,12258.8,-8511.08,293419
5300,-20760.2,12249.5,-8510.69,293781
5400,-20717.1,12206.2,-8510.85,295028
5500,-20732.1,12221,-8511.1,294689
5600,-20767.1,12256,-8511.12,293719
5700,-20821.9,12310.6,-8511.26,292177
5800,-20868.5,12357.5,-8511.04,290884
5900,-20871.8,12360.9,-8510.9,290822
6000,-20872.1,12361.1,-8510.92,290948
6100,-20857.5,12346.8,-8510.72,291494
6200,-20816.7,12305.9,-8510.8,292646
6300,-20832.2,12321.1,-8511.17,292211
6400,-20885.3,12374.2,-8511.11,290735
6500,-20880.3,12369.6,-8510.69,290831
6600,-20818.7,12308.1,-8510.62,292512
6700,-20783.1,12272.2,-8510.9,293566
6800,-20785.8,12274.9,-8510.91,293575
6900,-20764,12253.2,-8510.76,294160
7000,-20742.6,12231.7,-8510.83,294757
7100,-20712.3,12201.7,-8510.63,295658
7200,-20641.8,12131.2,-8510.64,297626
7300,-20642.6,12131.4,-8511.18,297681
7400,-20701.1,12190,-8511.1,296162
7500,-20712.5,12201.6,-8510.87,295874
7600,-20694.5,12183.7,-8510.82,296439
7700,-20679.4,12168.5,-8510.84,297031
7800,-20645.5,12134.9,-8510.64,298179
7900,-20581.4,12070.8,-8510.61,300149
8000,-20523.4,12012.7,-8510.72,301920
8100,-20511.5,12000.5,-8511.06,302377
8200,-20542.7,12031.7,-8511.01,301610
8300,-20524.9,12014.3,-8510.69,302040
8400,-20474.7,11963.8,-8510.8,303190
8500,-20512,12000.6,-8511.45,301851
8600,-20662.1,12150.3,-8511.76,297400
8700,-20793.9,12282.6,-8511.36,293393
8800,-20835.9,12324.9,-8511.02,291829
8900,-20866.4,12355.3,-8511.21,290723
9000,-20934.7,12423.4,-8511.22,288832
9100,-20951.9,12441.2,-8510.79,288500
9200,-20888.4,12377.9,-8510.5,290480
9300,-20801.6,12291.1,-8510.52,293160
9400,-20729.5,12218.9,-8510.6,295409
9500,-20685.2,12174.4,-8510.83,296759
9600,-20717.1,12205.8,-8511.31,295916
9700,-20819.2,12307.7,-8511.45,293108
9800,-20903.4,12392.2,-8511.15,290779
9900,-20893.8,12383.3,-8510.59,291023
10000,-20811.4,12300.8,-8510.56,293273
10100,-20794,12024.3,-8769.63,293801
10200,-20835.5,12065.8,-8769.68,292706
10300,-20856.9,12087.4,-8769.46,292141
10400,-20835,12065.7,-8769.31,292773
10500,-20806.1,12036.7,-8769.38,293631
10600,-20801.6,12032.1,-8769.52,293804
10700,-20807.8,12038.3,-8769.49,293621
10800,-20812.4,12042.9,-8769.49,293472
10900,-20805.4,12036,-8769.37,293692
11000,-20774.3,12005,-8769.3,294566
11100,-20750,11980.6,-8769.47,295169
11200,-20795.6,12025.6,-8769.93,293787
11300,-20899.5,12129.6,-8769.96,290807
11400,-20958.3,12188.8,-8769.55,289102
11500,-20930.8,12161.6,-8769.16,289868
11600,-20849.3,12080.3,-8769.03,292224
11700,-20777.1,12007.8,-8769.27,294396
11800,-20771.6,12002.1,-8769.61,294745
11900,-20801.1,12031.5,-8769.63,294011
12000,-20827.4,12057.7,-8769.67,293182
12100,-20875.1,12105.3,-8769.77,291679
12200,-20919.6,12150,-8769.58,290244
12300,-20905.1,12135.8,-8769.32,290441
12400,-20870,12100.7,-8769.32,291348
12500,-20845.9,12076.5,-8769.41,292103
12600,-20842.9,12073.4,-8769.5,292388
12700,-20833.5,12064.2,-8769.32,292846
12800,-20791.2,12021.9,-8769.3,294052
12900,-20797.9,12028.1,-8769.72,293804
13000,-20872.5,12102.6,-8769.91,291603
13100,-20957,12187.2,-8769.82,289075
13200,-21003.8,12234.3,-8769.52,287627
13300,-20967.4,12198.3,-8769.06,288540
13400,-20880.9,12111.8,-8769.06,290933
13500,-20830,12060.7,-8769.35,292474
13600,-20821.4,12052,-8769.45,292884
13700,-20812.9,12043.5,-8769.42,293190
13800,-20823,12053.3,-8769.66,292907
13900,-20874.9,12105.2,-8769.74,291473
14000,-20906.1,12136.6,-8769.51,290588
14100,-20897.1,12127.8,-8769.33,290831
14200,-20843,12073.9,-8769.12,292326
14300,-20782.1,12012.8,-8769.34,293997
14400,-20801.8,12032,-8769.78,293502
14500,-20872.2,12102.4,-8769.79,291637
14600,-20906.7,12137.2,-8769.53,290720
14700,-20908.6,12139.1,-8769.45,290695
14800,-20883.5,12114.2,-8769.22,291399
14900,-20822.5,12053.3,-8769.22,292992
15000,-20811.8,12042.2,-8769.65,293170
15100,-20870,11977.4,-8892.63,291398
15200,-20928.7,12036.2,-8892.52,289496
15300,-20961.1,12068.7,-8892.44,288273
15400,-20976.7,12084.4,-8892.29,287582
15500,-20955.9,12063.8,-8892.13,287976
15600,-20917.2,12025.1,-8892.11,288995
15700,-20866.4,11974.3,-8892.04,290480
15800,-20822,11929.8,-8892.12,291919
15900,-20784,11891.9,-8892.08,293232
16000,-20749.3,11857.1,-8892.26,294362
16100,-20796.4,11903.5,-8892.89,293164
16200,-20953,12059.8,-8893.21,288926
16300,-21091.9,12199.2,-8892.7,285135
16400,-21076.8,12185,-8891.81,285546
16500,-20928.6,12037,-8891.52,289611
16600,-20831.1,11939,-8892.2,292350
16700,-20862.7,11970.1,-8892.59,291597
16800,-20895,12002.7,-8892.3,290723
16900,-20860,11967.9,-8892.03,291572
17000,-20817,11924.8,-8892.2,292612
17100,-20821.9,11929.5,-8892.41,292387
17200,-20838.4,11946.2,-8892.28,291895
17300,-20811.9,11919.8,-8892.08,292610
17400,-20752,11860.1,-8891.92,294243
17500,-20695.2,11803,-8892.24,295707
17600,-20742.4,11849.7,-8892.73,294343
17700,-20811.4,11918.9,-8892.48,292337
17800,-20829.6,11937.2,-8892.41,291660
17900,-20875.2,11982.7,-8892.6,290350
18000,-20915.4,12023,-8892.38,289264
18100,-20912.2,12020,-8892.29,289368
18200,-20921,12028.6,-8892.47,289181
18300,-20962.5,12070,-8892.52,288172
18400,-20972.1,12080,-8892.16,288078
18500,-20912.8,12020.8,-8891.95,289887
18600,-20843.2,11951.2,-8892.01,291995
18700,-20805.5,11913.3,-8892.26,293173
