P,V,T
3.14393,853.333,1.99999
3.14401,853.333,1.99998
3.1441,853.333,1.99999
3.14418,853.333,1.99998
3.14426,853.333,1.99998
3.14435,853.333,1.99998
3.14443,853.333,1.99998
3.14451,853.333,1.99998
3.1446,853.333,1.99998
3.14468,853.333,1.99998
3.14477,853.333,1.99998
3.14485,853.333,1.99998
3.14494,853.333,1.99998
3.14502,853.333,1.99998
3.14511,853.333,1.99998
3.1452,853.333,1.99998
3.14528,853.333,1.99998
3.14537,853.333,1.99998
3.14546,853.333,1.99998
3.14554,853.333,1.99998
3.14564,853.333,1.99998
3.14572,853.333,1.99998
3.14581,853.333,1.99998
3.1459,853.333,1.99998
3.14599,853.333,1.99998
3.14608,853.333,1.99998
3.14616,853.333,1.99998
3.14625,853.333,1.99998
3.14634,853.333,1.99998
3.14643,853.333,1.99998
3.14652,853.333,1.99998
3.14661,853.333,1.99998
3.14671,853.333,1.99998
3.1468,853.333,1.99998
3.14689,853.333,1.99998
3.14698,853.333,1.99998
3.14708,853.333,1.99998
3.14717,853.333,1.99998
3.14726,853.333,1.99998
3.14735,853.333,1.99998
3.14744,853.333,1.99998
3.14753,853.333,1.99998
3.14763,853.333,1.99998
3.14772,853.333,1.99998
3.14781,853.333,1.99998
3.14791,853.333,1.99998
3.148,853.333,1.99998
3.14809,853.333,1.99998
3.14819,853.333,1.99998
3.14828,853.333,1.99998
3.14838,853.333,1.99998
3.14848,853.333,1.99998
3.14857,853.333,1.99998
3.14867,853.333,1.99998
3.14877,853.333,1.99998
3.14886,853.333,1.99998
3.14896,853.333,1.99998
3.14906,853.333,1.99998
3.14916,853.333,1.99998
3.14925,853.333,1.99998
3.14935,853.333,1.99998
3.14945,853.333,1.99998
3.14955,853.333,1.99998
3.14965,853.333,1.99998
3.14975,853.333,1.99998
3.14986,853.333,1.99998
3.14996,853.333,1.99998
3.15006,853.333,1.99998
3.15016,853.333,1.99998
3.15027,853.333,1.99998
3.15037,853.333,1.99998
3.15047,853.333,1.99998
3.15057,853.333,1.99998
3.15068,853.333,1.99998
3.15079,853.333,1.99998
3.15089,853.333,1.99998
3.151,853.333,1.99998
3.1511,853.333,1.99998
3.1512,853.333,1.99998
3.15131,853.333,1.99998
3.15141,853.333,1.99998
3.15152,853.333,1.99998
3.15162,853.333,1.99998
3.15173,853.333,1.99998
3.15183,853.333,1.99998
3.15194,853.333,1.99998
3.15205,853.333,1.99998
3.15215,853.333,1.99998
3.15226,853.333,1.99998
3.15237,853.333,1.99998
3.15248,853.333,1.99998
3.15259,853.333,1.99998
3.1527,853.333,1.99998
3.15281,853.333,1.99998
3.15292,853.333,1.99998
3.15303,853.333,1.99998
3.15315,853.333,1.99998
3.15326,853.333,1.99998
3.15337,853.333,1.99998
3.15348,853.333,1.99997
3.15359,853.333,1.99998
3.1537,853.333,1.99998
3.15381,853.333,1.99998
3.15392,853.333,1.99998
3.15404,853.333,1.99998
3.15415,853.333,1.99998
3.15426,853.333,1.99998
3.15437,853.333,1.99998
3.15449,853.333,1.99998
3.1546,853.333,1.99998
3.15472,853.333,1.99998
3.15483,853.333,1.99998
3.15494,853.333,1.99998
3.15506,853.333,1.99997
3.15517,853.333,1.99998
3.15529,853.333,1.99998
3.1554,853.333,1.99997
3.15552,853.333,1.99997
3.15563,853.333,1.99998
3.15574,853.333,1.99997
3.15586,853.333,1.99997
3.15598,853.333,1.99998
3.15609,853.333,1.99997
3.15621,853.333,1.99998
3.15632,853.333,1.99997
3.15644,853.333,1.99998
3.15656,853.333,1.99997
3.15667,853.333,1.99998
3.15679,853.333,1.99997
3.15691,853.333,1.99997
3.15703,853.333,1.99998
3.15714,853.333,1.99997
3.15726,853.333,1.99998
3.15738,853.333,1.99997
3.1575,853.333,1.99997
3.15762,853.333,1.99998
3.15774,853.333,1.99997
3.15786,853.333,1.99998
3.15798,853.333,1.99997
3.1581,853.333,1.99997
3.15822,853.333,1.99997
3.15834,853.333,1.99997
3.15846,853.333,1.99997
3.15858,853.333,1.99997
3.1587,853.333,1.99997
3.15883,853.333,1.99997
3.15895,853.333,1.99997
3.15907,853.333,1.99997
3.15919,853.333,1.99997
3.15931,853.333,1.99997
3.15943,853.333,1.99997
3.15956,853.333,1.99997
3.15968,853.333,1.99997
3.1598,853.333,1.99997
3.15993,853.333,1.99997
3.16006,853.333,1.99997
3.16018,853.333,1.99997
3.16031,853.333,1.99997
3.16043,853.333,1.99997
3.16056,853.333,1.99997
3.16068,853.333,1.99997
3.16081,853.333,1.99997
3.16094,853.333,1.99997
3.16107,853.333,1.99997
3.1612,853.333,1.99997
3.16133,853.333,1.99997
3.16146,853.333,1.99997
3.16158,853.333,1.99997
3.16171,853.333,1.99997
3.16184,853.333,1.99997
3.16198,853.333,1.99997
3.16211,853.333,1.99997
3.16224,853.333,1.99997
3.16237,853.333,1.99997
3.1625,853.333,1.99997
3.16264,853.333,1.99997
3.16277,853.333,1.99997
3.1629,853.333,1.99997
3.16304,853.333,1.99997
3.16317,853.333,1.99997
3.16331,853.333,1.99997
3.16344,853.333,1.99997
3.16358,853.333,1.99997
3.16371,853.333,1.99997
3.16384,853.333,1.99997
3.16398,853.333,1.99997
3.16411,853.333,1.99997
3.16425,853.333,1.99997
3.16438,853.333,1.99997
3.16452,853.333,1.99997
3.16466,853.333,1.99997
3.16479,853.333,1.99997
3.16493,853.333,1.99997
3.16506,853.333,1.99997
3.1652,853.333,1.99997
3.16534,853.333,1.99997
3.16548,853.333,1.99997
3.16561,853.333,1.99997
3.16575,853.333,1.99997
3.16589,853.333,1.99997
3.16603,853.333,1.99997
3.16617,853.333,1.99997
3.16631,853.333,1.99997
3.16645,853.333,1.99997
3.16659,853.333,1.99997
3.16673,853.333,1.99997
3.16687,853.333,1.99997
3.16701,853.333,1.99997
3.16715,853.333,1.99997
3.16729,853.333,1.99997
3.16744,853.333,1.99997
3.16758,853.333,1.99997
3.16772,853.333,1.99997
3.16787,853.333,1.99997
3.16801,853.333,1.99997
3.16815,853.333,1.99997
3.16829,853.333,1.99997
3.16844,853.333,1.99997
3.16858,853.333,1.99997
3.16873,853.333,1.99997
3.16887,853.333,1.99997
3.16901,853.333,1.99997
3.16916,853.333,1.99997
3.16931,853.333,1.99997
3.16945,853.333,1.99997
3.1696,853.333,1.99997
3.16974,853.333,1.99997
3.16989,853.333,1.99997
3.17003,853.333,1.99997
3.17018,853.333,1.99997
3.17033,853.333,1.99997
3.17048,853.333,1.99997
3.17063,853.333,1.99997
3.17078,853.333,1.99997
3.17093,853.333,1.99997
3.17108,853.333,1.99997
3.17123,853.333,1.99997
3.17138,853.333,1.99997
3.17153,853.333,1.99997
3.17168,853.333,1.99997
3.17183,853.333,1.99996
3.17199,853.333,1.99997
3.17214,853.333,1.99997
3.17229,853.333,1.99997
3.17245,853.333,1.99997
3.1726,853.333,1.99997
3.17275,853.333,1.99997
3.17291,853.333,1.99997
3.17306,853.333,1.99996
3.17322,853.333,1.99997
3.17337,853.333,1.99996
3.17353,853.333,1.99997
3.17368,853.333,1.99997
3.17384,853.333,1.99996
