P,V,T
3.14176,853.333,1.99999
3.14184,853.333,1.99998
3.14192,853.333,1.99999
3.142,853.333,1.99998
3.14209,853.333,1.99998
3.14217,853.333,1.99998
3.14225,853.333,1.99998
3.14233,853.333,1.99998
3.14242,853.333,1.99999
3.14251,853.333,1.99998
3.14259,853.333,1.99998
3.14268,853.333,1.99998
3.14276,853.333,1.99998
3.14285,853.333,1.99998
3.14293,853.333,1.99998
3.14302,853.333,1.99998
3.14311,853.333,1.99998
3.1432,853.333,1.99998
3.14328,853.333,1.99998
3.14337,853.333,1.99998
3.14346,853.333,1.99998
3.14355,853.333,1.99998
3.14364,853.333,1.99998
3.14372,853.333,1.99998
3.14381,853.333,1.99998
3.1439,853.333,1.99998
3.14399,853.333,1.99998
3.14408,853.333,1.99998
3.14417,853.333,1.99998
3.14426,853.333,1.99998
3.14435,853.333,1.99998
3.14444,853.333,1.99998
3.14454,853.333,1.99998
3.14463,853.333,1.99998
3.14472,853.333,1.99998
3.14481,853.333,1.99998
3.1449,853.333,1.99998
3.145,853.333,1.99998
3.14509,853.333,1.99998
3.14518,853.333,1.99998
3.14527,853.333,1.99998
3.14537,853.333,1.99998
3.14546,853.333,1.99998
3.14555,853.333,1.99998
3.14565,853.333,1.99998
3.14574,853.333,1.99998
3.14583,853.333,1.99998
3.14593,853.333,1.99998
3.14602,853.333,1.99998
3.14612,853.333,1.99998
3.14621,853.333,1.99998
3.14631,853.333,1.99998
3.14641,853.333,1.99998
3.1465,853.333,1.99998
3.1466,853.333,1.99998
3.1467,853.333,1.99998
3.14679,853.333,1.99998
3.14689,853.333,1.99998
3.14699,853.333,1.99998
3.14709,853.333,1.99998
3.14719,853.333,1.99998
3.14729,853.333,1.99998
3.14739,853.333,1.99998
3.14749,853.333,1.99998
3.14759,853.333,1.99998
3.14769,853.333,1.99998
3.14779,853.333,1.99998
3.14789,853.333,1.99998
3.14799,853.333,1.99998
3.1481,853.333,1.99998
3.1482,853.333,1.99998
3.1483,853.333,1.99998
3.14841,853.333,1.99998
3.14851,853.333,1.99998
3.14862,853.333,1.99998
3.14872,853.333,1.99998
3.14883,853.333,1.99998
3.14893,853.333,1.99998
3.14904,853.333,1.99998
3.14914,853.333,1.99998
3.14925,853.333,1.99998
3.14935,853.333,1.99998
3.14946,853.333,1.99998
3.14956,853.333,1.99998
3.14967,853.333,1.99998
3.14977,853.333,1.99998
3.14988,853.333,1.99998
3.14999,853.333,1.99998
3.1501,853.333,1.99998
3.1502,853.333,1.99998
3.15031,853.333,1.99998
3.15042,853.333,1.99998
3.15053,853.333,1.99998
3.15064,853.333,1.99998
3.15075,853.333,1.99998
3.15086,853.333,1.99998
3.15097,853.333,1.99998
3.15108,853.333,1.99998
3.15119,853.333,1.99998
3.1513,853.333,1.99997
3.15142,853.333,1.99998
3.15153,853.333,1.99998
3.15164,853.333,1.99998
3.15175,853.333,1.99998
3.15186,853.333,1.99998
3.15198,853.333,1.99998
3.15209,853.333,1.99998
3.1522,853.333,1.99997
3.15231,853.333,1.99998
3.15243,853.333,1.99998
3.15254,853.333,1.99998
3.15265,853.333,1.99998
3.15277,853.333,1.99998
3.15288,853.333,1.99997
3.153,853.333,1.99998
3.15311,853.333,1.99998
3.15322,853.333,1.99998
3.15334,853.333,1.99998
3.15345,853.333,1.99998
3.15357,853.333,1.99997
3.15368,853.333,1.99997
3.1538,853.333,1.99998
3.15391,853.333,1.99998
3.15403,853.333,1.99998
3.15414,853.333,1.99997
3.15426,853.333,1.99998
3.15438,853.333,1.99997
3.15449,853.333,1.99998
3.15461,853.333,1.99997
3.15473,853.333,1.99997
3.15485,853.333,1.99998
3.15496,853.333,1.99997
3.15508,853.333,1.99997
3.1552,853.333,1.99997
3.15532,853.333,1.99997
3.15544,853.333,1.99998
3.15556,853.333,1.99997
3.15568,853.333,1.99997
3.1558,853.333,1.99997
3.15592,853.333,1.99997
3.15604,853.333,1.99997
3.15617,853.333,1.99997
3.15629,853.333,1.99997
3.15641,853.333,1.99997
3.15653,853.333,1.99997
3.15665,853.333,1.99997
3.15677,853.333,1.99997
3.15689,853.333,1.99997
3.15701,853.333,1.99997
3.15714,853.333,1.99997
3.15726,853.333,1.99997
3.15738,853.333,1.99997
3.1575,853.333,1.99997
3.15763,853.333,1.99997
3.15775,853.333,1.99997
3.15788,853.333,1.99997
3.158,853.333,1.99997
3.15813,853.333,1.99997
3.15825,853.333,1.99997
3.15838,853.333,1.99997
3.15851,853.333,1.99997
3.15864,853.333,1.99997
3.15876,853.333,1.99997
3.15889,853.333,1.99997
3.15902,853.333,1.99997
3.15915,853.333,1.99997
3.15928,853.333,1.99997
3.15941,853.333,1.99997
3.15954,853.333,1.99997
