P,V,T
113.543,512,1.9998
113.545,512,1.9998
113.546,512,1.99981
113.547,512,1.99982
113.548,512,1.99982
113.549,512,1.99983
113.551,512,1.99984
113.552,512,1.99984
113.553,512,1.99985
113.553,512,1.99986
113.554,512,1.99987
113.555,512,1.99987
113.556,512,1.99988
113.557,512,1.99988
113.557,512,1.99989
113.558,512,1.9999
113.559,512,1.99991
113.559,512,1.99991
113.56,512,1.99992
113.56,512,1.99992
113.561,512,1.99993
113.561,512,1.99994
113.561,512,1.99995
113.562,512,1.99995
113.562,512,1.99996
113.562,512,1.99996
113.562,512,1.99997
113.563,512,1.99998
113.563,512,1.99999
113.563,512,1.99999
113.563,512,2
113.563,512,2.00001
113.563,512,2.00001
113.563,512,2.00002
113.563,512,2.00003
113.563,512,2.00003
113.562,512,2.00004
113.562,512,2.00005
113.562,512,2.00005
113.561,512,2.00006
113.561,512,2.00007
113.561,512,2.00007
113.56,512,2.00008
113.559,512,2.00009
113.559,512,2.00009
113.558,512,2.0001
113.557,512,2.00011
113.557,512,2.00011
113.556,512,2.00012
113.555,512,2.00013
113.554,512,2.00013
113.553,512,2.00014
113.552,512,2.00015
113.551,512,2.00015
113.55,512,2.00016
113.549,512,2.00017
113.548,512,2.00017
113.547,512,2.00018
113.545,512,2.00019
113.544,512,2.00019
113.543,512,2.0002
113.541,512,2.00021
113.54,512,2.00021
113.538,512,2.00022
113.537,512,2.00023
113.535,512,2.00023
113.533,512,2.00024
113.532,512,2.00025
113.53,512,2.00025
113.528,512,2.00026
113.526,512,2.00027
113.524,512,2.00027
113.522,512,2.00028
113.521,512,2.00029
113.519,512,2.00029
113.517,512,2.0003
113.514,512,2.00031
113.512,512,2.00031
113.51,512,2.00032
113.508,512,2.00033
113.506,512,2.00033
113.504,512,2.00034
113.502,512,2.00035
113.499,512,2.00035
113.497,512,2.00036
113.494,512,2.00037
113.492,512,2.00037
113.49,512,2.00038
113.487,512,2.00039
113.485,512,2.00039
113.482,512,2.0004
113.479,512,2.00041
113.477,512,2.00041
113.474,512,2.00042
113.471,512,2.00043
113.468,512,2.00043
113.465,512,2.00044
113.462,512,2.00045
113.459,512,2.00046
113.456,512,2.00046
113.453,512,2.00047
113.45,512,2.00047
113.446,512,2.00048
113.443,512,2.00049
113.44,512,2.00049
113.436,512,2.0005
113.433,512,2.00051
113.429,512,2.00051
113.426,512,2.00052
113.422,512,2.00053
113.419,512,2.00053
