P,V,T
113.533,512,1.9998
113.535,512,1.99981
113.536,512,1.99981
113.537,512,1.99982
113.538,512,1.99982
113.539,512,1.99983
113.54,512,1.99984
113.541,512,1.99984
113.542,512,1.99985
113.543,512,1.99986
113.544,512,1.99987
113.545,512,1.99987
113.546,512,1.99988
113.547,512,1.99988
113.547,512,1.99989
113.548,512,1.9999
113.549,512,1.99991
113.549,512,1.99991
113.55,512,1.99992
113.55,512,1.99992
113.551,512,1.99993
113.551,512,1.99994
113.551,512,1.99995
113.552,512,1.99995
113.552,512,1.99996
113.552,512,1.99997
113.552,512,1.99997
113.553,512,1.99998
113.553,512,1.99999
113.553,512,1.99999
113.553,512,2
113.553,512,2.00001
113.553,512,2.00001
113.553,512,2.00002
113.553,512,2.00003
113.553,512,2.00003
113.552,512,2.00004
113.552,512,2.00005
113.552,512,2.00005
113.551,512,2.00006
113.551,512,2.00007
113.551,512,2.00007
113.55,512,2.00008
113.549,512,2.00009
113.549,512,2.00009
113.548,512,2.0001
113.547,512,2.00011
113.547,512,2.00011
113.546,512,2.00012
113.545,512,2.00013
113.544,512,2.00013
113.543,512,2.00014
113.542,512,2.00015
113.541,512,2.00015
113.54,512,2.00016
113.539,512,2.00017
113.538,512,2.00017
113.537,512,2.00018
113.535,512,2.00019
113.534,512,2.00019
113.533,512,2.0002
113.531,512,2.00021
113.53,512,2.00021
113.528,512,2.00022
113.527,512,2.00023
113.525,512,2.00023
113.523,512,2.00024
113.522,512,2.00025
113.52,512,2.00025
113.518,512,2.00026
113.516,512,2.00027
113.514,512,2.00028
113.512,512,2.00028
113.511,512,2.00029
113.509,512,2.00029
113.507,512,2.0003
113.505,512,2.00031
113.502,512,2.00031
113.5,512,2.00032
113.498,512,2.00033
113.496,512,2.00033
113.494,512,2.00034
113.491,512,2.00035
113.489,512,2.00035
113.487,512,2.00036
113.484,512,2.00037
113.482,512,2.00037
113.48,512,2.00038
113.477,512,2.00039
113.474,512,2.00039
113.472,512,2.0004
113.469,512,2.00041
113.467,512,2.00041
113.464,512,2.00042
113.461,512,2.00043
113.458,512,2.00043
113.455,512,2.00044
113.452,512,2.00045
113.449,512,2.00045
113.446,512,2.00046
113.443,512,2.00047
113.44,512,2.00047
113.436,512,2.00048
113.433,512,2.00049
113.43,512,2.00049
113.426,512,2.0005
113.423,512,2.00051
113.419,512,2.00051
113.416,512,2.00052
113.412,512,2.00053
113.409,512,2.00054
113.405,512,2.00054
113.401,512,2.00055
113.398,512,2.00055
113.394,512,2.00056
113.39,512,2.00057
113.386,512,2.00057
113.382,512,2.00058
113.378,512,2.00059
113.374,512,2.00059
113.37,512,2.0006
113.366,512,2.00061
113.362,512,2.00061
113.358,512,2.00062
113.354,512,2.00062
113.35,512,2.00063
113.345,512,2.00064
113.341,512,2.00065
113.336,512,2.00065
113.332,512,2.00066
113.328,512,2.00066
113.323,512,2.00067
113.319,512,2.00068
113.314,512,2.00068
113.309,512,2.00069
113.305,512,2.0007
113.3,512,2.0007
113.296,512,2.00071
113.291,512,2.00072
113.286,512,2.00072
113.281,512,2.00073
113.276,512,2.00073
113.271,512,2.00074
113.266,512,2.00075
113.261,512,2.00076
113.256,512,2.00076
113.251,512,2.00077
113.246,512,2.00077
113.241,512,2.00078
113.235,512,2.00079
113.23,512,2.00079
113.225,512,2.0008
113.22,512,2.00081
113.214,512,2.00081
113.209,512,2.00082
113.203,512,2.00082
113.198,512,2.00083
113.192,512,2.00084
113.187,512,2.00085
113.181,512,2.00085
113.175,512,2.00086
113.169,512,2.00086
113.164,512,2.00087
113.158,512,2.00088
113.152,512,2.00088
113.146,512,2.00089
113.14,512,2.00089
113.134,512,2.0009
113.128,512,2.00091
113.122,512,2.00091
113.116,512,2.00092
113.11,512,2.00093
113.104,512,2.00093
113.098,512,2.00094
113.092,512,2.00095
113.085,512,2.00095
113.079,512,2.00096
113.073,512,2.00096
113.066,512,2.00097
113.06,512,2.00098
113.053,512,2.00098
113.047,512,2.00099
113.04,512,2.00099
113.034,512,2.001
113.027,512,2.00101
113.02,512,2.00101
113.013,512,2.00102
113.007,512,2.00103
113,512,2.00103
112.993,512,2.00104
112.986,512,2.00104
112.979,512,2.00105
112.972,512,2.00106
112.965,512,2.00106
112.958,512,2.00107
112.951,512,2.00108
112.944,512,2.00108
112.936,512,2.00109
112.929,512,2.00109
112.922,512,2.0011
112.915,512,2.00111
112.907,512,2.00111
112.9,512,2.00112
112.892,512,2.00112
112.885,512,2.00113
112.877,512,2.00114
112.87,512,2.00114
112.862,512,2.00115
112.854,512,2.00115
112.847,512,2.00116
112.839,512,2.00117
112.831,512,2.00117
112.823,512,2.00118
112.815,512,2.00119
112.808,512,2.00119
112.8,512,2.0012
112.792,512,2.0012
112.784,512,2.00121
112.775,512,2.00121
112.767,512,2.00122
112.759,512,2.00123
112.751,512,2.00123
112.742,512,2.00124
112.734,512,2.00125
112.726,512,2.00125
112.717,512,2.00126
112.709,512,2.00126
112.7,512,2.00127
112.692,512,2.00127
112.683,512,2.00128
112.675,512,2.00128
112.666,512,2.00129
112.657,512,2.0013
112.649,512,2.00131
112.64,512,2.00131
112.631,512,2.00132
112.623,512,2.00132
112.614,512,2.00133
112.605,512,2.00133
112.596,512,2.00134
112.587,512,2.00134
112.578,512,2.00135
112.569,512,2.00136
112.56,512,2.00136
112.551,512,2.00137
112.542,512,2.00137
112.532,512,2.00138
112.523,512,2.00139
112.514,512,2.00139
112.505,512,2.0014
112.495,512,2.0014
112.486,512,2.00141
112.476,512,2.00141
112.467,512,2.00142
112.457,512,2.00143
112.448,512,2.00143
112.438,512,2.00144
112.428,512,2.00144
112.419,512,2.00145
112.409,512,2.00146
112.399,512,2.00146
112.39,512,2.00147
112.38,512,2.00147
112.37,512,2.00148
112.36,512,2.00148
112.35,512,2.00149
112.34,512,2.00149
112.33,512,2.0015
112.32,512,2.00151
112.31,512,2.00151
112.3,512,2.00152
112.29,512,2.00152
112.28,512,2.00153
112.27,512,2.00153
112.259,512,2.00154
112.249,512,2.00154
112.239,512,2.00155
112.228,512,2.00156
112.218,512,2.00156
112.208,512,2.00156
112.197,512,2.00157
112.187,512,2.00158
112.176,512,2.00158
112.166,512,2.00159
112.155,512,2.00159
112.145,512,2.0016
112.134,512,2.0016
112.123,512,2.00161
112.112,512,2.00161
112.102,512,2.00162
112.091,512,2.00162
112.08,512,2.00163
112.069,512,2.00164
112.058,512,2.00164
112.047,512,2.00165
112.036,512,2.00165
112.025,512,2.00166
112.014,512,2.00166
112.003,512,2.00167
111.992,512,2.00167
111.981,512,2.00168
111.97,512,2.00168
111.959,512,2.00169
111.947,512,2.00169
111.936,512,2.0017
111.924,512,2.0017
111.913,512,2.00171
111.902,512,2.00171
111.89,512,2.00172
111.879,512,2.00173
111.867,512,2.00173
111.856,512,2.00173
111.844,512,2.00174
111.833,512,2.00175
111.821,512,2.00175
111.809,512,2.00176
111.798,512,2.00176
111.786,512,2.00177
111.774,512,2.00177
111.762,512,2.00178
111.751,512,2.00178
111.739,512,2.00179
111.727,512,2.00179
111.715,512,2.0018
111.703,512,2.0018
111.691,512,2.00181
111.679,512,2.00181
111.667,512,2.00182
111.655,512,2.00182
111.643,512,2.00183
111.63,512,2.00183
111.618,512,2.00184
111.606,512,2.00184
111.594,512,2.00185
111.582,512,2.00185
111.569,512,2.00186
111.557,512,2.00186
111.544,512,2.00187
111.532,512,2.00187
111.519,512,2.00188
111.507,512,2.00188
111.494,512,2.00188
111.482,512,2.00189
111.469,512,2.0019
111.456,512,2.0019
111.444,512,2.00191
111.431,512,2.00191
111.418,512,2.00192
111.405,512,2.00192
111.393,512,2.00192
111.38,512,2.00193
111.367,512,2.00194
111.354,512,2.00194
111.341,512,2.00195
111.328,512,2.00195
111.315,512,2.00195
111.302,512,2.00196
111.289,512,2.00196
111.276,512,2.00197
111.263,512,2.00197
111.25,512,2.00198
111.237,512,2.00198
111.224,512,2.00199
111.211,512,2.00199
111.197,512,2.002
111.184,512,2.002
111.171,512,2.00201
111.157,512,2.00201
111.144,512,2.00202
111.13,512,2.00202
111.117,512,2.00202
111.103,512,2.00203
111.09,512,2.00203
111.076,512,2.00204
111.063,512,2.00204
111.049,512,2.00205
111.036,512,2.00205
111.022,512,2.00206
111.008,512,2.00206
110.995,512,2.00206
110.981,512,2.00207
110.967,512,2.00207
110.953,512,2.00208
110.939,512,2.00208
110.926,512,2.00209
110.912,512,2.00209
110.898,512,2.0021
110.884,512,2.0021
110.87,512,2.0021
110.856,512,2.00211
110.842,512,2.00211
110.828,512,2.00212
110.814,512,2.00212
110.8,512,2.00213
110.785,512,2.00213
110.771,512,2.00214
110.757,512,2.00214
110.743,512,2.00214
110.728,512,2.00215
110.714,512,2.00215
110.7,512,2.00216
110.685,512,2.00216
110.671,512,2.00217
110.657,512,2.00217
110.642,512,2.00217
110.628,512,2.00218
110.613,512,2.00218
110.598,512,2.00219
110.584,512,2.00219
110.569,512,2.00219
110.554,512,2.0022
110.54,512,2.0022
110.525,512,2.0022
110.51,512,2.00221
110.495,512,2.00221
110.48,512,2.00222
110.465,512,2.00222
110.45,512,2.00223
110.436,512,2.00223
110.421,512,2.00223
110.406,512,2.00224
110.391,512,2.00224
110.376,512,2.00225
110.36,512,2.00225
110.345,512,2.00226
110.33,512,2.00226
110.315,512,2.00226
110.3,512,2.00227
110.285,512,2.00227
110.27,512,2.00227
110.255,512,2.00228
110.239,512,2.00228
110.224,512,2.00229
110.209,512,2.00229
110.194,512,2.00229
110.178,512,2.0023
110.163,512,2.0023
110.147,512,2.00231
110.132,512,2.00231
110.117,512,2.00231
110.101,512,2.00232
110.086,512,2.00232
110.07,512,2.00233
110.055,512,2.00233
110.039,512,2.00233
110.024,512,2.00234
110.008,512,2.00234
109.992,512,2.00235
109.977,512,2.00235
109.961,512,2.00235
109.945,512,2.00236
109.93,512,2.00236
109.914,512,2.00236
109.898,512,2.00237
109.882,512,2.00237
109.867,512,2.00237
109.851,512,2.00238
109.835,512,2.00238
109.819,512,2.00238
109.803,512,2.00239
109.787,512,2.00239
109.771,512,2.0024
109.755,512,2.0024
109.739,512,2.0024
109.723,512,2.00241
109.707,512,2.00241
109.691,512,2.00241
109.675,512,2.00242
109.659,512,2.00242
109.643,512,2.00242
109.627,512,2.00243
109.611,512,2.00243
109.594,512,2.00243
109.578,512,2.00244
109.562,512,2.00244
109.546,512,2.00245
109.529,512,2.00245
109.513,512,2.00245
109.497,512,2.00246
109.481,512,2.00246
109.464,512,2.00246
109.447,512,2.00246
109.431,512,2.00247
109.415,512,2.00247
109.398,512,2.00247
109.382,512,2.00248
109.365,512,2.00248
109.349,512,2.00249
109.332,512,2.00249
109.316,512,2.00249
109.299,512,2.0025
109.282,512,2.0025
109.266,512,2.0025
109.249,512,2.00251
109.233,512,2.00251
109.216,512,2.00251
109.199,512,2.00252
109.183,512,2.00252
109.166,512,2.00252
109.149,512,2.00252
109.132,512,2.00253
109.116,512,2.00253
109.099,512,2.00253
109.082,512,2.00254
109.065,512,2.00254
109.048,512,2.00254
109.031,512,2.00255
109.014,512,2.00255
108.997,512,2.00255
108.98,512,2.00256
108.963,512,2.00256
108.946,512,2.00256
108.929,512,2.00257
108.911,512,2.00257
108.894,512,2.00257
108.877,512,2.00257
108.86,512,2.00258
108.843,512,2.00258
108.825,512,2.00259
108.808,512,2.00259
108.791,512,2.00259
108.773,512,2.00259
108.756,512,2.0026
108.739,512,2.0026
108.721,512,2.0026
108.704,512,2.0026
108.687,512,2.00261
108.669,512,2.00261
108.652,512,2.00261
108.634,512,2.00262
108.617,512,2.00262
108.599,512,2.00262
108.582,512,2.00262
108.564,512,2.00263
108.547,512,2.00263
108.529,512,2.00263
108.512,512,2.00264
108.494,512,2.00264
108.477,512,2.00264
108.459,512,2.00264
108.441,512,2.00265
108.424,512,2.00265
108.406,512,2.00265
108.388,512,2.00265
108.371,512,2.00266
108.353,512,2.00266
108.335,512,2.00266
108.317,512,2.00266
108.3,512,2.00267
108.282,512,2.00267
108.264,512,2.00267
108.246,512,2.00268
108.228,512,2.00268
108.21,512,2.00268
108.192,512,2.00268
108.175,512,2.00269
108.157,512,2.00269
108.139,512,2.00269
108.121,512,2.00269
108.103,512,2.0027
108.085,512,2.0027
108.067,512,2.0027
108.048,512,2.0027
108.03,512,2.00271
108.012,512,2.00271
107.994,512,2.00271
107.976,512,2.00272
107.958,512,2.00271
107.94,512,2.00272
107.922,512,2.00272
107.903,512,2.00273
107.885,512,2.00273
107.867,512,2.00273
107.849,512,2.00273
107.83,512,2.00274
107.812,512,2.00274
107.794,512,2.00274
107.776,512,2.00274
107.757,512,2.00274
107.739,512,2.00275
107.721,512,2.00275
107.702,512,2.00275
107.684,512,2.00275
107.666,512,2.00276
107.647,512,2.00276
107.629,512,2.00276
107.61,512,2.00276
107.592,512,2.00276
107.574,512,2.00277
107.555,512,2.00277
107.536,512,2.00277
107.518,512,2.00277
107.5,512,2.00278
107.481,512,2.00278
107.462,512,2.00278
107.444,512,2.00278
107.425,512,2.00278
107.407,512,2.00279
107.388,512,2.00279
107.37,512,2.00279
107.351,512,2.00279
107.333,512,2.0028
107.314,512,2.0028
107.295,512,2.0028
107.277,512,2.0028
107.258,512,2.00281
107.239,512,2.0028
107.22,512,2.00281
107.202,512,2.00281
107.183,512,2.00281
107.164,512,2.00281
107.145,512,2.00282
107.127,512,2.00282
107.108,512,2.00282
107.089,512,2.00282
107.07,512,2.00282
107.051,512,2.00283
107.032,512,2.00283
107.013,512,2.00283
106.994,512,2.00283
106.976,512,2.00283
106.957,512,2.00284
106.938,512,2.00284
106.919,512,2.00284
106.9,512,2.00284
106.881,512,2.00284
106.862,512,2.00285
106.843,512,2.00285
106.824,512,2.00285
106.805,512,2.00285
106.786,512,2.00286
106.767,512,2.00285
106.747,512,2.00286
106.728,512,2.00286
106.709,512,2.00286
106.69,512,2.00286
106.671,512,2.00287
106.652,512,2.00287
106.633,512,2.00287
106.614,512,2.00287
106.594,512,2.00287
106.575,512,2.00287
106.556,512,2.00288
106.537,512,2.00288
106.518,512,2.00288
106.498,512,2.00288
106.479,512,2.00288
106.46,512,2.00288
106.441,512,2.00289
106.421,512,2.00289
106.402,512,2.00289
106.383,512,2.00289
106.364,512,2.00289
106.344,512,2.0029
106.325,512,2.00289
106.305,512,2.0029
106.286,512,2.0029
106.267,512,2.0029
106.247,512,2.0029
106.228,512,2.0029
106.208,512,2.00291
106.189,512,2.00291
106.169,512,2.00291
106.15,512,2.00291
106.131,512,2.00291
106.111,512,2.00291
106.092,512,2.00291
106.072,512,2.00292
106.053,512,2.00292
106.033,512,2.00292
106.014,512,2.00292
105.994,512,2.00292
105.975,512,2.00292
105.955,512,2.00293
105.935,512,2.00293
105.916,512,2.00293
105.896,512,2.00293
105.877,512,2.00293
105.857,512,2.00293
105.837,512,2.00293
105.818,512,2.00293
105.798,512,2.00294
105.779,512,2.00294
105.759,512,2.00294
105.739,512,2.00294
105.72,512,2.00294
105.7,512,2.00294
105.68,512,2.00294
105.66,512,2.00295
105.641,512,2.00295
105.621,512,2.00295
105.601,512,2.00295
105.582,512,2.00295
105.562,512,2.00295
105.542,512,2.00296
105.522,512,2.00295
105.503,512,2.00296
105.483,512,2.00296
105.463,512,2.00296
105.443,512,2.00296
105.423,512,2.00296
105.403,512,2.00296
105.384,512,2.00296
105.364,512,2.00297
105.344,512,2.00297
105.324,512,2.00297
105.304,512,2.00297
105.284,512,2.00297
105.265,512,2.00297
105.245,512,2.00297
105.225,512,2.00298
105.205,512,2.00297
105.185,512,2.00298
105.165,512,2.00298
105.145,512,2.00298
105.125,512,2.00298
105.105,512,2.00298
105.085,512,2.00298
105.065,512,2.00298
105.045,512,2.00299
105.025,512,2.00299
105.005,512,2.00299
104.985,512,2.00299
104.965,512,2.00299
104.945,512,2.00299
104.925,512,2.00299
104.905,512,2.00299
104.885,512,2.00299
104.865,512,2.00299
104.845,512,2.003
104.825,512,2.003
104.805,512,2.003
104.785,512,2.003
104.765,512,2.003
104.745,512,2.003
104.725,512,2.003
104.705,512,2.003
104.685,512,2.003
104.665,512,2.003
104.645,512,2.003
104.624,512,2.00301
104.604,512,2.00301
104.584,512,2.00301
104.564,512,2.00301
