P,V,T
0.0617425,2560,2
0.0617419,2560,2
0.0617419,2560,2
0.0617418,2560,2
0.0617415,2560,2
0.0617408,2560,2
0.0617406,2560,2
0.0617403,2560,2
0.06174,2560,2
0.06174,2560,2
0.0617397,2560,2
0.0617396,2560,2
0.0617388,2560,2
0.0617388,2560,2
0.0617383,2560,2
0.0617383,2560,2
0.0617377,2560,2
0.0617379,2560,2
0.0617375,2560,2
0.0617371,2560,2
0.0617367,2560,2
0.0617366,2560,2
0.0617361,2560,2
0.0617354,2560,2
0.0617357,2560,2
0.0617357,2560,2
0.0617348,2560,2
0.0617346,2560,2
0.0617341,2560,2
0.0617339,2560,2
0.0617341,2560,2
0.0617337,2560,2
0.061733,2560,2
0.0617332,2560,2
0.0617326,2560,2
0.0617323,2560,2
0.0617317,2560,2
0.0617317,2560,2
0.0617313,2560,2
0.0617314,2560,2
0.061731,2560,2
0.0617303,2560,2
0.0617299,2560,2
0.0617299,2560,2
0.0617296,2560,2
0.0617293,2560,2
0.061729,2560,2
0.0617285,2560,2
0.0617285,2560,2
0.0617278,2560,2
0.0617279,2560,2
0.0617271,2560,2
0.0617271,2560,2
0.0617265,2560,2
0.0617264,2560,2
0.0617261,2560,2
0.0617261,2560,2
0.0617253,2560,2
0.0617252,2560,2
0.0617245,2560,2
0.061725,2560,2
0.0617242,2560,2
0.0617242,2560,2
0.0617238,2560,2
0.0617235,2560,2
0.0617229,2560,2
0.0617225,2560,2
0.0617223,2560,2
0.061722,2560,2
0.0617217,2560,2
0.0617215,2560,2
0.0617214,2560,2
0.0617206,2560,2
0.0617203,2560,2
0.06172,2560,2
0.0617195,2560,2
0.0617193,2560,2
0.0617193,2560,2
0.0617187,2560,2
0.0617185,2560,2
0.0617177,2560,2
0.061718,2560,2
0.0617173,2560,2
0.0617172,2560,2
0.0617169,2560,2
0.0617163,2560,2
0.0617162,2560,2
0.061716,2560,2
0.0617154,2560,2
0.0617152,2560,2
0.0617146,2560,2
0.0617148,2560,2
0.0617139,2560,2
0.061714,2560,2
0.0617138,2560,2
0.061713,2560,2
0.0617128,2560,2
0.0617122,2560,2
0.0617124,2560,2
0.0617118,2560,2
0.0617113,2560,2
0.0617111,2560,2
0.0617105,2560,2
0.0617104,2560,2
0.0617102,2560,2
0.06171,2560,2
0.0617095,2560,2
0.0617089,2560,2
0.0617087,2560,2
0.0617081,2560,2
0.0617083,2560,2
0.0617078,2560,2
0.0617071,2560,2
0.0617068,2560,2
0.0617068,2560,2
0.0617064,2560,2
0.0617057,2560,2
0.0617061,2560,2
0.0617052,2560,2
0.0617047,2560,2
0.0617046,2560,2
0.0617046,2560,2
0.061704,2560,2
0.0617038,2560,2
0.061703,2560,2
0.0617028,2560,2
0.0617023,2560,2
0.0617019,2560,2
0.0617018,2560,2
0.0617016,2560,2
0.0617009,2560,2
0.0617004,2560,2
0.0617005,2560,2
0.0616999,2560,2
0.0616997,2560,2
0.0616991,2560,2
0.0616988,2560,2
0.0616986,2560,2
0.0616981,2560,2
0.0616978,2560,2
0.0616975,2560,2
0.0616971,2560,2
0.0616969,2560,2
0.0616963,2560,2
0.0616959,2560,2
0.061696,2560,2
0.0616956,2560,2
0.0616949,2560,2
0.0616945,2560,2
0.0616942,2560,2
0.0616938,2560,2
0.0616931,2560,2
0.0616934,2560,2
0.0616926,2560,2
0.0616922,2560,2
0.061692,2560,2
0.0616916,2560,2
0.0616912,2560,2
0.0616911,2560,2
0.0616904,2560,2
0.0616902,2560,2
0.0616899,2560,2
0.0616896,2560,2
0.0616891,2560,2
0.0616885,2560,2
0.0616884,2560,2
0.0616879,2560,2
0.0616876,2560,2
0.0616873,2560,2
0.0616867,2560,2
0.0616868,2560,2
0.0616862,2560,2
0.0616855,2560,2
0.061685,2560,2
0.0616848,2560,2
0.0616845,2560,2
0.0616842,2560,2
0.0616837,2560,2
0.0616831,2560,2
0.0616829,2560,2
0.0616829,2560,2
0.0616823,2560,2
0.061682,2560,2
0.061681,2560,2
0.0616813,2560,2
0.0616806,2560,2
0.0616806,2560,2
0.0616796,2560,2
0.0616799,2560,2
0.0616791,2560,2
0.0616785,2560,2
0.0616784,2560,2
0.061678,2560,2
0.0616774,2560,2
0.0616775,2560,2
0.0616765,2560,2
0.0616766,2560,2
0.0616764,2560,2
0.0616757,2560,2
0.061675,2560,2
0.0616748,2560,2
0.0616747,2560,2
0.0616741,2560,2
0.0616737,2560,2
0.0616736,2560,2
0.061673,2560,2
0.0616725,2560,2
0.0616725,2560,2
0.0616716,2560,2
0.0616711,2560,2
0.061671,2560,2
0.0616706,2560,2
0.0616702,2560,2
0.0616695,2560,2
0.0616694,2560,2
0.0616688,2560,2
0.0616685,2560,2
0.0616683,2560,2
0.0616679,2560,2
0.0616674,2560,2
0.0616665,2560,2
0.0616667,2560,2
0.0616658,2560,2
0.0616658,2560,2
0.0616654,2560,2
0.0616651,2560,2
0.0616645,2560,2
0.061664,2560,2
0.0616634,2560,2
0.0616635,2560,2
0.061663,2560,2
0.0616624,2560,2
0.061662,2560,2
0.0616612,2560,2
0.0616612,2560,2
0.0616609,2560,2
0.0616605,2560,2
0.0616601,2560,2
0.0616594,2560,2
0.0616594,2560,2
0.0616587,2560,2
0.0616585,2560,2
0.0616581,2560,2
0.0616574,2560,2
0.0616572,2560,2
0.0616566,2560,2
0.0616561,2560,2
0.0616558,2560,2
0.0616554,2560,2
0.0616552,2560,2
0.0616545,2560,2
0.061654,2560,2
0.0616539,2560,2
0.0616534,2560,2
0.0616528,2560,2
0.0616522,2560,2
0.0616522,2560,2
0.0616516,2560,2
0.0616512,2560,2
0.0616508,2560,2
0.0616506,2560,2
0.0616497,2560,2
0.0616497,2560,2
0.0616493,2560,2
0.0616488,2560,2
0.0616484,2560,2
0.0616481,2560,2
0.0616472,2560,2
0.0616468,2560,2
0.0616466,2560,2
0.061646,2560,2
0.0616456,2560,2
0.0616452,2560,2
0.0616448,2560,2
0.0616443,2560,2
0.0616438,2560,2
0.0616436,2560,2
0.0616428,2560,2
0.0616429,2560,2
0.0616421,2560,2
0.0616418,2560,2
0.0616414,2560,2
0.0616407,2560,2
0.0616405,2560,2
0.0616398,2560,2
0.0616395,2560,2
0.0616392,2560,2
0.0616383,2560,2
0.0616381,2560,2
0.0616381,2560,2
0.0616373,2560,2
0.0616369,2560,2
0.0616366,2560,2
0.0616361,2560,2
0.0616353,2560,2
0.0616354,2560,2
0.0616346,2560,2
0.0616341,2560,2
0.0616336,2560,2
0.0616334,2560,2
0.0616328,2560,2
0.0616325,2560,2
0.0616319,2560,2
0.0616314,2560,2
0.0616313,2560,2
0.0616307,2560,2
0.0616302,2560,2
0.0616294,2560,2
0.0616292,2560,2
0.061629,2560,2
0.061628,2560,2
0.061628,2560,2
0.0616274,2560,2
0.061627,2560,2
0.0616266,2560,2
0.0616261,2560,2
0.0616253,2560,2
0.0616251,2560,2
0.0616249,2560,2
0.0616241,2560,2
0.0616235,2560,2
0.0616233,2560,2
0.0616229,2560,2
0.0616229,2560,2
0.0616219,2560,2
0.0616213,2560,2
0.0616212,2560,2
0.0616202,2560,2
0.06162,2560,2
0.0616198,2560,2
0.0616189,2560,2
0.061619,2560,2
0.0616185,2560,2
0.0616176,2560,2
0.0616176,2560,2
0.0616165,2560,2
0.0616166,2560,2
0.0616158,2560,2
0.0616158,2560,2
0.0616148,2560,2
0.0616144,2560,2
0.0616141,2560,2
0.0616132,2560,2
0.061613,2560,2
0.0616127,2560,2
0.0616125,2560,2
0.0616113,2560,2
0.0616111,2560,2
0.061611,2560,2
0.0616103,2560,2
0.0616095,2560,2
0.0616091,2560,2
0.0616084,2560,2
0.0616087,2560,2
0.0616079,2560,2
0.0616075,2560,2
0.0616065,2560,2
0.0616063,2560,2
0.0616059,2560,2
0.0616056,2560,2
0.0616049,2560,2
0.0616046,2560,2
0.0616039,2560,2
0.0616034,2560,2
0.061603,2560,2
0.0616026,2560,2
0.0616018,2560,2
0.0616017,2560,2
0.0616009,2560,2
0.0616006,2560,2
0.0615997,2560,2
0.0615994,2560,2
0.0615991,2560,2
0.0615985,2560,2
0.0615981,2560,2
0.0615976,2560,2
0.0615971,2560,2
0.0615964,2560,2
0.0615963,2560,2
0.0615956,2560,2
0.0615948,2560,2
0.0615945,2560,2
0.0615941,2560,2
0.0615932,2560,2
0.0615928,2560,2
0.0615926,2560,2
0.0615923,2560,2
0.0615916,2560,2
0.0615912,2560,2
0.0615905,2560,2
0.0615902,2560,2
0.0615894,2560,2
0.0615892,2560,2
0.0615886,2560,2
0.0615876,2560,2
0.0615878,2560,2
0.0615869,2560,2
0.0615862,2560,2
0.061586,2560,2
0.0615858,2560,2
0.061585,2560,2
0.0615846,2560,2
0.0615841,2560,2
0.0615831,2560,2
0.061583,2560,2
0.0615824,2560,2
0.0615822,2560,2
0.0615811,2560,2
0.0615809,2560,2
0.0615804,2560,2
0.0615799,2560,2
0.0615795,2560,2
0.0615787,2560,2
0.0615784,2560,2
0.0615775,2560,2
0.0615776,2560,2
0.0615769,2560,2
0.0615761,2560,2
0.0615758,2560,2
0.0615754,2560,2
0.0615749,2560,2
0.0615743,2560,2
0.0615737,2560,2
0.0615731,2560,2
0.0615729,2560,2
0.0615723,2560,2
0.0615712,2560,2
0.0615715,2560,2
0.0615708,2560,2
0.06157,2560,2
0.0615692,2560,2
0.0615693,2560,2
0.0615685,2560,2
0.0615675,2560,2
0.0615675,2560,2
0.0615667,2560,2
0.0615664,2560,2
0.0615658,2560,2
0.0615655,2560,2
0.0615648,2560,2
0.0615641,2560,2
0.0615637,2560,2
0.0615634,2560,2
0.0615628,2560,2
0.0615622,2560,2
0.0615614,2560,2
0.0615613,2560,2
0.0615606,2560,2
0.0615601,2560,2
0.0615594,2560,2
0.061559,2560,2
0.0615583,2560,2
0.0615576,2560,2
0.0615573,2560,2
0.0615571,2560,2
0.0615565,2560,2
0.0615553,2560,2
0.0615555,2560,2
0.0615547,2560,2
0.0615541,2560,2
0.0615537,2560,2
0.061553,2560,2
0.0615527,2560,2
0.0615518,2560,2
0.0615513,2560,2
0.0615509,2560,2
0.0615506,2560,2
0.0615498,2560,2
0.0615492,2560,2
0.0615489,2560,2
0.0615484,2560,2
0.0615472,2560,2
0.0615469,2560,2
0.0615468,2560,2
0.0615461,2560,2
0.0615452,2560,2
0.0615448,2560,2
0.0615443,2560,2
0.0615443,2560,2
0.0615435,2560,2
0.0615423,2560,2
0.061542,2560,2
0.0615417,2560,2
0.0615413,2560,2
0.0615406,2560,2
0.06154,2560,2
0.0615396,2560,2
0.0615387,2560,2
0.0615382,2560,2
0.0615379,2560,2
0.0615371,2560,2
0.0615364,2560,2
0.0615364,2560,2
0.0615355,2560,2
0.0615348,2560,2
0.0615346,2560,2
0.0615336,2560,2
0.0615332,2560,2
0.0615329,2560,2
0.0615316,2560,2
