vx,vy,vz,v
-3.62849,-1.73502,-2.4043,21.9569
-2.48895,-3.02949,-2.37816,21.0284
-2.95737,-3.46533,-2.12808,25.2833
-1.34887,-3.85435,-2.06862,20.9547
-4.39606,-3.00267,-0.241108,28.3995
-2.92093,-2.93963,2.018,21.2456
-2.76082,-2.54062,2.28023,19.2763
0.348113,0.133238,4.65563,21.8139
-2.95895,-2.61415,-2.69532,22.8539
-2.86439,-2.17981,-1.89059,16.5306
-2.79526,-2.51861,-1.33718,15.9449
-2.9377,-2.38987,-0.154956,14.3656
-2.23852,-2.941,0.816802,14.3276
-2.3825,-2.43766,1.17698,13.0037
-1.9933,-2.58168,1.84541,14.0439
-1.80901,-1.28984,2.58418,11.6142
-3.01352,-1.87007,-2.51854,18.9215
-2.91866,-1.51532,-2.68687,18.034
-2.05726,-0.93309,-1.35385,6.93589
-3.89437,-2.31386,-0.905971,21.3409
-3.45335,-1.04438,0.802689,13.6607
-2.82238,-0.916809,2.13824,13.3784
-1.14768,-1.5242,2.39046,9.35464
-1.4151,-0.725659,3.19618,12.7446
-4.09779,-2.44041,-2.24671,27.7952
-3.10966,-0.838916,-3.08092,19.8658
-3.24344,-1.18751,0.711786,12.4368
0.956855,-1.51558,-3.31967,14.2328
-3.19001,0.0374744,-0.37378,10.3173
-3.74111,-0.208618,0.913063,14.8731
-2.52653,-0.271801,2.92505,15.0131
0.0898957,-1.38775,3.45314,13.8581
-2.06286,0.890253,-3.54689,17.6284
-3.15997,1.24993,-2.58632,18.2367
-3.61522,0.229084,-1.56314,15.5657
-3.71004,-1.0411,-0.0648466,14.8525
-3.70456,-0.660885,-0.81044,14.8174
-3.38884,0.178029,1.29604,13.1956
-1.84448,-1.0284,3.20013,14.7005
-1.00034,-0.347321,2.48136,7.27846
-2.91582,2.00845,-2.8358,20.5777
-2.88719,1.19854,-2.44716,15.761
-3.24533,1.34154,-0.829133,13.0194
-3.46843,0.901426,0.793709,13.4725
-2.93789,0.018065,-0.276432,8.70791
-2.55541,1.24724,2.07157,12.3771
-1.75502,1.21319,1.99384,8.52734
1.22726,-0.426108,3.99447,17.6435
-2.2414,2.43429,-3.20943,21.2501
-2.84287,2.77308,-1.5557,18.1921
-3.42207,2.74874,-1.00993,20.2861
-2.75319,3.22569,-0.432753,18.1724
-2.3767,3.63404,-0.5792,19.1904
-3.36631,2.98968,-0.637109,20.6762
-3.28469,2.36403,2.06723,20.6513
-0.415792,2.01358,2.88417,12.5458
0.436053,4.44759,-0.162395,19.9976
-1.85557,2.745,-1.30851,12.6903
-1.28052,3.46275,-0.751493,14.1951
0.345276,4.41929,-0.631938,20.0487
0.496231,4.13555,1.86511,20.8277
-0.495587,2.35769,-1.33457,7.58536
-1.6256,3.00261,1.24329,13.204
0.818243,-2.05886,-1.26423,6.50668
-2.46853,-2.66013,-3.21952,23.5353
-1.95896,-2.36162,-2.42292,15.2853
-2.57436,-2.46497,-1.37626,14.5974
-3.09321,-2.92423,0.260703,18.187
-2.93225,-3.36686,-0.00750201,19.9339
-2.35552,-2.79443,1.44347,15.4409
-0.0371631,-3.49506,3.04444,21.4855
-1.89897,-1.51434,2.35072,11.4252
-2.52463,-1.92427,-2.51861,16.4199
0.119518,-0.0593863,-0.544221,0.313988
0.233256,-2.0879,-1.54024,6.7861
-1.28217,-2.18115,-0.0692061,6.40617
-1.20295,-1.8203,-0.503881,5.01448
0.182476,-1.45026,2.90233,10.5601
1.31595,1.82487,-2.51204,11.3722
1.90761,1.18086,-1.97006,8.91457
-2.44042,-1.472,-3.09769,17.7181
-0.400474,0.520899,-2.12935,4.96584
-1.71964,-0.237601,0.0990703,3.02344
-2.27249,-1.49392,-1.77794,10.5571
-1.24064,-2.63954,1.47464,10.6809
-1.06331,0.475962,1.39934,3.31532
-2.5451,0.762871,0.707016,7.5594
-1.67582,-1.11279,2.283,9.25875
-2.65506,0.984911,-3.53625,20.5244
-2.01524,0.600516,-1.40399,6.39299
-3.20273,-0.919649,-1.49449,13.3367
-2.18312,-0.704154,-0.908387,6.08703
-2.52597,0.511839,-0.414619,6.81441
-1.92286,-0.171247,2.41881,9.57735
-0.720561,0.944714,1.2342,2.93495
-0.270108,-0.763693,2.93481,9.2693
-2.28935,0.87036,-3.00731,15.0426
-2.14414,0.357004,-1.56516,7.17452
-0.651714,1.80504,-3.78503,18.0093
-1.84477,1.70028,-0.144516,6.31502
2.28341,-0.392798,1.29603,7.04792
-1.77945,0.893405,2.59212,10.6837
-2.31882,1.06265,1.7905,9.71204
0.138243,0.00911086,2.99877,9.01183
-2.42015,1.4323,-2.49512,14.1342
-1.04172,4.20169,-1.05587,19.8542
-1.52322,1.12349,-0.859668,4.32147
-1.83055,2.791,0.871784,11.9006
-1.81251,1.89801,1.18057,8.28134
1.74689,1.12168,0.235666,4.36534
0.253956,0.556946,-1.55604,2.79594
-0.907472,0.346888,2.97475,9.79297
-2.01806,2.93655,-0.781274,13.3063
-0.100022,-2.77193,2.34322,13.1843
-2.46877,-0.0797744,0.583882,6.44212
-4.49998,1.14147,0.593462,21.905
-2.78288,1.48129,-0.62874,10.3339
1.36687,-1.68341,-0.734336,5.24146
1.21062,-0.88323,-1.47133,4.41051
-0.890908,-0.445088,2.89386,9.36626
-1.31855,2.97053,-1.45994,12.6941
1.36286,-2.15789,1.81681,9.81469
0.414477,2.99516,-0.207613,9.18586
-0.442581,2.94734,0.799968,9.52261
-0.794777,3.22106,0.28087,11.0858
-0.895015,2.86697,-0.829358,9.7084
-0.744785,2.16175,-0.40919,5.39529
1.36509,0.688746,-0.173052,2.36779
-2.05811,-3.02576,-3.5463,25.9673
-1.25172,-2.91454,-2.68001,17.2438
